
39,JCM 10817,"['J30', 'J148']",Passalora fulva
40,JCM 1005,"['J13', 'J25', 'J26', 'J30', 'J84']",Lactobacillus helveticus
41,JCM 2642,['J12'],Citrobacter freundii
42,JCM 1373,"['J25', 'J26', 'J30', 'J75']",Clavibacter michiganensis michiganensis
43,JCM 19418,['J30'],Keissleriella quadriseptata
44,JCM 21452,['J596'],Marinilactibacillus psychrotolerans
45,JCM 17680,"['J74', 'J75']",Albirhodobacter marinus
46,JCM 32234,['J30'],Glutinomyces vulgaris
47,JCM 32415,['J475'],Chryseomicrobium excrementi
48,JCM 6491,"['J14', 'J84']",Finegoldia magna
49,JCM 18342,"['J30', 'J148']",Scolecobasidium humicola
50,JCM 2737,['J30'],Botryosphaeria dothidea
51,JCM 28336,['J30'],Kendrickiella phycomyces
52,JCM 19447,['J346'],Spirosoma radiotolerans
53,JCM 10769,['J14'],Eggerthella lenta
54,JCM 7493,"['J25', 'J30']",Dioszegia aurantiaca
55,JCM 3955,['J12'],Providencia rustigianii
56,JCM 31602,['J346'],Parapedobacter lycopersici
57,JCM 9231,['J30'],Beverwykella pulmonaria
58,JCM 3354,['J61'],Actinoplanes yunnanensis
59,JCM 22693,"['J30', 'J148']",Hypoxylon howeanum
60,JCM 22858,"['J30', 'J226']",Penicillium olsonii
61,JCM 3055,"['J48', 'J104', 'J118']",Thermoflavimicrobium dichotomicum
62,JCM 18492,"['J74', 'J346']",Spirosoma montaniterrae
63,JCM 12035,"['J30', 'J148']",Hypocrea nigricans
64,JCM 15693,"['J30', 'J35']",Trichophyton mentagrophytes
65,JCM 11406,"['J25', 'J30']",Wickerhamomyces pijperi
66,JCM 22563,"['J30', 'J226']",Penicillium citreonigrum
67,JCM 20956,['J22'],Shewanella putrefaciens
68,JCM 18224,"['J30', 'J148']",Koorchaloma madreeya
69,JCM 2647,['J12'],Citrobacter freundii
70,JCM 18720,['J118'],Ferrimonas gelatinilytica
71,JCM 22346,"['J30', 'J226']",Aspergillus minimus
72,JCM 12764,['J104'],Micromonospora narathiwatensis
73,JCM 2738,['J30'],Botryosphaeria dothidea
74,JCM 15328,['J30'],Sarocladium kiliense
75,JCM 2342,"['J25', 'J30']",Kluyveromyces marxianus
76,JCM 30968,['J22'],Stenotrophomonas tumulicola
77,JCM 9149,['J181'],Bacillus
78,JCM 39051,"['J30', 'J343']",Simplicillium spumae
79,JCM 14663,['J168'],Natrinema gari
80,JCM 39053,"['J30', 'J343']",Simplicillium subtropicum
81,JCM 8115,"['J25', 'J30']",Rhodotorula mucilaginosa
82,JCM 1179,"['J13', 'J84']",Lactobacillus
83,JCM 28139,['J30'],Talaromyces minioluteus
84,JCM 20183,['J74'],Sphingobacterium multivorum
85,JCM 16619,['J346'],Limnohabitans
86,JCM 19037,['J181'],Geomicrobium
87,JCM 10205,['J58'],Streptomyces peucetius caesius
88,JCM 18750,['J306'],Halostagnicola bangensis
89,JCM 16342,['J118'],Pseudomonas
90,JCM 1565,"['J33', 'J346', 'J734']",Eurotium amstelodami
91,JCM 7772,['J13'],Limosilactobacillus fermentum
92,JCM 28808,['J26'],Microbacterium shaanxiense
93,JCM 3861,['J90'],Halothiobacillus neapolitanus
94,JCM 10568,"['J25', 'J30']",Candida mesenterica
95,JCM 19052,['J118'],Vibrio
96,JCM 1485,"['J22', 'J118']",Paeniglutamicibacter
97,JCM 5864,['J40'],Nocardioides albus
98,JCM 21857,"['J25', 'J30']",Saccharomyces cerevisiae
99,JCM 6190,"['J25', 'J30']",Schwanniomyces vanrijiae yarrowii
100,JCM 17948,['J917'],Thermoplasma acidophilum
101,JCM 31295,['J30'],Dictyocatenulata alba
102,JCM 2143,"['J7', 'J22', 'J118', 'J346']",Aeromonas sobria
103,JCM 1033,"['J13', 'J25', 'J30', 'J84']",Lactobacillus acidophilus
104,JCM 22333,"['J30', 'J226']",Aspergillus violaceofuscus
105,JCM 8913,"['J25', 'J30']",Blastobotrys terrestris
106,JCM 1732,"['J12', 'J22']",Sphingobacterium spiritivorum
107,JCM 32063,['J1186'],Methanobacterium
108,JCM 22763,"['J30', 'J226']",Penicillium melinii
109,JCM 13805,"['J25', 'J30']",Bullera
110,JCM 12050,"['J30', 'J148']",Trichoderma saturnisporum
111,JCM 15369,['J30'],Trichoderma
112,JCM 14634,['J346'],Roseomonas tokyonensis
113,JCM 20167,['J12'],Achromobacter
114,JCM 5578,['J30'],Rhizopus oryzae
115,JCM 8600,['J13'],Lentilactobacillus farraginis
116,JCM 10301,"['J25', 'J30']",Rhodotorula toruloides
117,JCM 22527,"['J30', 'J226']",Penicillium spinulosum
118,JCM 22322,"['J30', 'J226']",Aspergillus awamori
119,JCM 6495,"['J14', 'J84']",Cutibacterium acnes acnes
120,JCM 24583,['J25'],Pseudozyma hubeiensis
121,JCM 4698,"['J45', 'J66']",Streptomyces
122,JCM 8551,['J52'],Herbidospora cretacea
123,JCM 9124,['J118'],Vibrio penaeicida
124,JCM 20652,['J22'],Flavobacterium lutescens
125,JCM 19197,"['J118', 'J916']",Aliiglaciecola coringensis
126,JCM 30577,['J83'],Streptococcus panodentis
127,JCM 13175,"['J30', 'J148']",Polyplosphaeria fusca
128,JCM 2722,['J30'],Aspergillus sydowii
129,JCM 7398,"['J25', 'J30']",Galactomyces candidus
130,JCM 14779,['J74'],Cereibacter ovatus
131,JCM 21182,['J13'],Leuconostoc
132,JCM 8839,['J30'],Didymobotryum verrucosum
133,JCM 18582,['J74'],Hymenobacter swuensis
134,JCM 5882,"['J25', 'J30']",Cystofilobasidium infirmominiatum
135,JCM 17083,['J346'],Mucilaginibacter
136,JCM 2412,['J12'],Pseudomonas aeruginosa
137,JCM 9614,"['J25', 'J30']",Sugiyamaella paludigena
138,JCM 1598,"['J25', 'J30', 'J167', 'J226', 'J469', 'J735']",Candida musae
139,JCM 30519,"['J30', 'J1054']",Globisporangium spinosum
140,JCM 13895,['J118'],Alteromonas tagae
141,JCM 16488,"['J30', 'J35']",Trichophyton mentagrophytes
142,JCM 10819,"['J30', 'J148']",Passalora fulva
143,JCM 17529,['J880'],Morosphaeria velatispora
144,JCM 23087,['J30'],Acremonium roseolum
145,JCM 8252,"['J25', 'J30']",Naganishia albida
146,JCM 2962,"['J25', 'J30']",Udeniomyces piricola
147,JCM 10332,"['J25', 'J30']",Sporobolomyces ogasawarensis
148,JCM 10229,"['J25', 'J30']",Kluyveromyces nonfermentans
149,JCM 2296,"['J25', 'J30', 'J33', 'J226']",Pichia occidentalis
150,JCM 13292,"['J25', 'J30']",Rhodotorula arctica
151,JCM 10222,"['J25', 'J30']",Symmetrospora vermiculata
152,JCM 8550,['J52'],Herbidospora cretacea
153,JCM 10174,['J118'],Shewanella benthica
154,JCM 15123,['J14'],Prevotella falsenii
155,JCM 3723,"['J14', 'J83', 'J84']",Fusobacterium varium
156,JCM 12732,"['J30', 'J226']",Aspergillus ochraceus
157,JCM 18396,"['J25', 'J30']",Cryptococcus lacticolor
158,JCM 5661,"['J25', 'J30']",Galactomyces candidus
159,JCM 30045,['J42'],Microbispora catharanthi
160,JCM 13474,"['J30', 'J226']",Penicillium
161,JCM 22842,"['J30', 'J226']",Penicillium roqueforti
162,JCM 24594,['J25'],Cystobasidium iriomotense
163,JCM 16298,"['J25', 'J30']",Sporobolomyces carnicolor
164,JCM 6899,"['J25', 'J30']",Fibulobasidium inconspicuum
165,JCM 8676,['J13'],Lactobacillus
166,JCM 22331,"['J30', 'J226']",Aspergillus japonicus
167,JCM 23065,['J30'],Cephaliophora muscicola
168,JCM 17667,['J346'],Fulvimonas
169,JCM 31406,['J346'],Deinococcus knuensis
170,JCM 39132,"['J30', 'J226']",Aspergillus luchuensis
171,JCM 7689,['J30'],Papulaspora funabasensis
172,JCM 21884,"['J25', 'J30']",Yarrowia deformans
173,JCM 33057,['J346'],Lysobacter terrigena
174,JCM 33849,"['J30', 'J226', 'J343']",Penicillium oxalicum
175,JCM 18689,['J346'],Caulobacter daechungensis
176,JCM 23174,"['J30', 'J148', 'J150']",Sagenomella griseoviridis
177,JCM 15895,['J43'],Nocardia aobensis
178,JCM 22310,"['J30', 'J226']",Aspergillus luchuensis
179,JCM 2748,['J30'],Glonium lineare
180,JCM 31015,['J475'],Humibacter soli
181,JCM 23024,['J30'],Talaromyces emersonii
182,JCM 1618,"['J25', 'J30', 'J118']",Candida parapsilosis
183,JCM 21469,['J118'],Agarivorans albus
184,JCM 8666,['J13'],Lactobacillus delbrueckii
185,JCM 9125,['J118'],Vibrio penaeicida
186,JCM 28303,['J43'],Amycolatopsis
187,JCM 9038,"['J25', 'J30']",Filobasidium magnum
188,JCM 1806,"['J14', 'J25', 'J27', 'J30', 'J50', 'J156', 'J346', 'J1230']",Starmerella
189,JCM 14271,"['J25', 'J30']",Cryptococcus
190,JCM 8498,['J150'],Sordaria fimicola
191,JCM 31570,['J22'],Nitrincola tapanii
192,JCM 15990,"['J30', 'J226']",Penicillium paneum
193,JCM 13073,"['J30', 'J148']",Leptosphaeria collinsoniae
194,JCM 32168,['J27'],Lysobacter panacihumi
195,JCM 13191,['J118'],Nonlabens spongiae
196,JCM 5838,['J22'],Pasteurella
197,JCM 16822,"['J25', 'J30']",Candida suthepensis
198,JCM 12882,"['J25', 'J30']",Bullera koratensis
199,JCM 32945,['J346'],Roseicella frigidaeris
200,JCM 6274,['J22'],Deinococcus
201,JCM 19481,['J13'],Bifidobacterium bifidum
202,JCM 30511,"['J30', 'J1054']",Ovatisporangium
203,JCM 8869,['J129'],Acidiphilium multivorum
204,JCM 3822,"['J13', 'J84']",Liquorilactobacillus mali
205,JCM 10214,"['J25', 'J30']",Sporobolomyces nylandii
206,JCM 23098,"['J30', 'J332']",Cylindrocarpon candidum
207,JCM 24058,['J22'],Citrobacter freundii
208,JCM 17093,['J574'],Halorubrum salinum
209,JCM 6045,['J43'],Nocardia farcinica
210,JCM 9164,['J181'],Bacillus
211,JCM 11255,"['J25', 'J30']",Rhodosporidium kratochvilovae
212,JCM 9305,['J30'],Acrostalagmus annulatus
213,JCM 9833,"['J25', 'J30']",Nakazawaea populi
214,JCM 31833,['J25'],Cutaneotrichosporon cyanovorans
215,JCM 16455,['J118'],Vibrio jasicida
216,JCM 18184,"['J30', 'J148']",Simplicillium sympodiophorum
217,JCM 5216,"['J25', 'J30']",Debaryomyces hansenii
218,JCM 23079,['J30'],Sarocladium kiliense
219,JCM 1707,"['J22', 'J25', 'J30', 'J346', 'J733', 'J832', 'J845']",Priceomyces melissophilus
220,JCM 22508,"['J30', 'J226']",Penicillium citrinum
221,JCM 5800,['J30'],Alternaria alternata
222,JCM 6824,['J22'],Rhodococcus
223,JCM 9807,['J22'],Dietzia
224,JCM 15346,['J30'],Fusarium
225,JCM 11740,"['J25', 'J30']",Cryptococcus cylindricus
226,JCM 15069,['J118'],Lutaonella thermophila
227,JCM 10605,['J14'],Coprobacillus cateniformis
228,JCM 31671,['J840'],Mitsuaria noduli
229,JCM 13327,"['J25', 'J30']",Derxomyces cylindricus
230,JCM 28835,['J475'],Bacillus
231,JCM 18509,['J465'],Fusicatenibacter saccharivorans
232,JCM 9567,"['J25', 'J30']",Candida viswanathii
233,JCM 2790,['J12'],Brevundimonas diminuta
234,JCM 10570,"['J25', 'J30']",Derxomyces boninensis
235,JCM 8631,['J13'],Lentilactobacillus farraginis
236,JCM 34066,['J386'],Mycobacterium avium
237,JCM 1908,"['J25', 'J30', 'J35', 'J746']",Arthroderma obtusum
238,JCM 4247,['J42'],Streptomyces cacaoi asoensis
239,JCM 2110,"['J25', 'J30', 'J74']",Debaryomyces hansenii
240,JCM 2585,['J22'],Arthrobacter agilis
241,JCM 32589,['J43'],Amycolatopsis rhizosphaerae
242,JCM 28845,['J475'],Bacillus
243,JCM 24508,['J25'],Saitozyma podzolica
244,JCM 2402,['J12'],Pseudomonas ficuserectae
245,JCM 10074,"['J25', 'J30']",Kockovaella phaffii
246,JCM 7891,['J141'],Streptococcus
247,JCM 17882,['J75'],Acinetobacter
248,JCM 28242,['J25'],Sugiyamaella novakii
249,JCM 15668,['J346'],Pandoraea
250,JCM 6020,['J30'],Thielaviopsis euricoi
251,JCM 23066,['J30'],Mycoarachis inversa
252,JCM 32100,['J1191'],Nesterenkonia natronophila
253,JCM 30603,['J346'],Chthonobacter albigriseus
254,JCM 2186,"['J25', 'J30']",Hanseniaspora osmophila
255,JCM 5675,"['J27', 'J70']",Enterococcus casseliflavus
256,JCM 30518,"['J30', 'J1054']",Globisporangium rostratifingens
257,JCM 10155,['J30'],Ordus tribrachiatus
258,JCM 31321,['J118'],Marinobacter
259,JCM 21541,['J346'],Pleomorphomonas oryzae
260,JCM 30862,['J346'],Lysobacter terricola
261,JCM 31967,['J118'],Gelidibacter japonicus
262,JCM 32236,['J30'],Glutinomyces vulgaris
263,JCM 39119,['J30'],Metacapnodium neesii
264,JCM 19502,['J346'],Niabella terrae
265,JCM 2270,"['J30', 'J31']",Warcupiella spinulosa
266,JCM 32247,['J346'],Flavobacterium knui
267,JCM 1700,"['J25', 'J30', 'J61']",Saccharomycopsis crataegensis
268,JCM 16688,"['J30', 'J148']",Sphaerostilbella aureonitens
269,JCM 11732,['J118'],Aequorivita vladivostokensis
270,JCM 19979,"['J30', 'J148']",Hypomyces stephanomatis
271,JCM 13206,['J156'],Pseudomonas aeruginosa
272,JCM 10143,"['J25', 'J30']",Candida fungicola
273,JCM 3608,"['J25', 'J30']",Nakazawaea holstii
274,JCM 10679,"['J30', 'J148']",Cladosporium cladosporioides
275,JCM 16349,['J75'],Bacillus rigui
276,JCM 10610,['J14'],Catenibacterium mitsuokai
277,JCM 30276,['J26'],Nocardioides echinoideorum
278,JCM 5435,['J22'],Pseudomonas fragi
279,JCM 4142,['J42'],Streptomyces
280,JCM 12086,['J153'],Malassezia nana
281,JCM 32460,['J28'],Pradoshia eiseniae
282,JCM 15414,"['J25', 'J30']",Candida takamatsuzukensis
283,JCM 7482,"['J25', 'J30']",Tilletiopsis washingtonensis
284,JCM 7536,"['J25', 'J30']",Sugitazyma miyagiana
285,JCM 5562,['J30'],Rhizopus oryzae
286,JCM 19875,['J681'],Tepidisphaera mucosa
287,JCM 11743,"['J25', 'J30']",Cryptococcus phenolicus
288,JCM 10814,"['J25', 'J30']",Tetrapisispora arboricola
289,JCM 1142,['J13'],Leuconostoc lactis
290,JCM 9122,['J27'],Stenotrophomonas maltophilia
291,JCM 9843,"['J25', 'J30']",Pichia occidentalis
292,JCM 9481,"['J25', 'J30']",Sporopachydermia cereana
293,JCM 9283,"['J25', 'J30']",Rhodotorula babjevae
294,JCM 7445,"['J25', 'J30']",Pseudobensingtonia ingoldii
295,JCM 22526,"['J30', 'J226']",Penicillium spinulosum
296,JCM 28552,['J30'],Penicillium paneum
297,JCM 10898,"['J25', 'J30']",Cystobasidium slooffiae
298,JCM 22814,"['J30', 'J226']",Penicillium
299,JCM 31492,['J26'],Nocardioides solisilvae
300,JCM 33875,['J43'],Actinomadura rubrisoli
301,JCM 18561,['J30'],Minutisphaera japonica
302,JCM 20963,['J22'],Shewanella putrefaciens
303,JCM 5386,['J22'],Pseudomonas fragi
304,JCM 18339,"['J30', 'J148']",Exophiala spinifera
305,JCM 10603,['J14'],Coprobacillus cateniformis
306,JCM 20573,['J22'],Shewanella putrefaciens
307,JCM 6808,"['J25', 'J30']",Wickerhamomyces mucosus
308,JCM 8259,"['J25', 'J30']",Candida blankii
309,JCM 2311,"['J25', 'J30']",Cyberlindnera jadinii
310,JCM 22983,['J30'],Piptocephalis freseniana
311,JCM 6056,['J26'],Staphylococcus piscifermentans
312,JCM 31816,['J443'],Paenibacillus
313,JCM 8441,['J150'],Sordaria fimicola
314,JCM 21016,"['J124', 'J436']",Myxococcus fulvus
315,JCM 19519,['J118'],Ruegeria marisrubri
316,JCM 1809,"['J25', 'J30', 'J118']",Trichosporon asahii
317,JCM 11145,"['J25', 'J30']",Itersonilia pannonica
318,JCM 11409,"['J25', 'J30']",Nadsonia starkeyi-henricii
319,JCM 14774,['J443'],Intrasporangium
320,JCM 19092,['J746'],Gluconacetobacter aggeris
321,JCM 4437,['J43'],Streptomyces viridochromogenes
322,JCM 5282,"['J25', 'J30']",Sporobolomyces carnicolor
323,JCM 31216,['J22'],Hydrogenophaga aquatica
324,JCM 19420,['J30'],Keissleriella
325,JCM 15144,['J118'],Maritalea mobilis
326,JCM 7924,['J30'],Claussenomyces prasinulus
327,JCM 14456,['J578'],Thermoproteus
328,JCM 24575,['J25'],Cystobasidium iriomotense
329,JCM 2083,"['J25', 'J30', 'J118']",Candida albicans
330,JCM 8023,"['J14', 'J84']",Clostridium beijerinckii
331,JCM 9327,"['J22', 'J70']",Acinetobacter radioresistens
332,JCM 10792,['J14'],Collinsella aerofaciens
333,JCM 2286,"['J25', 'J30']",Candida albicans
334,JCM 8651,['J13'],Lentilactobacillus farraginis
335,JCM 2719,"['J30', 'J226']",Aspergillus avenaceus
336,JCM 2821,"['J22', 'J79']",Methylorubrum zatmanii
337,JCM 7604,"['J25', 'J30']",Alloascoidea hylecoeti
338,JCM 19164,['J346'],Lysobacter lycopersici
339,JCM 30261,['J30'],Hypomyces sibirinae
340,JCM 3710,"['J25', 'J30']",Hanseniaspora occidentalis
341,JCM 12436,['J13'],Fructilactobacillus sanfranciscensis
342,JCM 5576,['J30'],Rhizopus stolonifer stolonifer
343,JCM 32197,['J346'],Hymenobacter segetis
344,JCM 33365,['J43'],Nocardioides vastitatis
345,JCM 16504,"['J25', 'J30']",Lachancea nothofagi
346,JCM 22825,"['J30', 'J226']",Penicillium expansum
347,JCM 5841,['J22'],Gallibacterium
348,JCM 32159,['J346'],Sphingobacterium terrae
349,JCM 7440,['J30'],Graphium
350,JCM 5601,['J30'],Absidia coerulea
351,JCM 2291,"['J25', 'J30', 'J32', 'J33', 'J226']",Diutina rugosa
352,JCM 30532,['J14'],Caproiciproducens galactitolivorans
353,JCM 20599,['J127'],Methylophaga thalassica
354,JCM 5480,['J22'],Pseudomonas
355,JCM 1775,"['J25', 'J28', 'J30', 'J118', 'J346', 'J900']",Mrakia aquatica
356,JCM 12155,"['J25', 'J30']",Mingxiaea setariae
357,JCM 30151,['J599'],Halomonas garicola
358,JCM 7491,"['J25', 'J30']",Derxomyces mrakii
359,JCM 8605,['J13'],Lentilactobacillus farraginis
360,JCM 5049,['J43'],Streptomyces hygroscopicus crystallogenes
361,JCM 19428,['J30'],Clypeoloculus towadaensis
362,JCM 31866,"['J118', 'J1153']",Alcanivorax profundi
363,JCM 2918,['J30'],Sporothrix insectorum
364,JCM 22532,"['J30', 'J226']",Penicillium verruculosum
365,JCM 32955,['J574'],Halostella litorea
366,JCM 5465,['J22'],Pseudomonas
367,JCM 13486,['J557'],Caldalkalibacillus thermarum
368,JCM 10734,"['J25', 'J30']",Millerozyma farinosa
369,JCM 8398,['J149'],Paracoccus kocurii
370,JCM 32791,['J256'],Helicobacter delphinicola
371,JCM 14580,['J586'],Bartonella tamiae
372,JCM 13615,"['J25', 'J30']",Asterotremella musci
373,JCM 1780,"['J25', 'J30', 'J118']",Candida ethanolica
374,JCM 22429,"['J30', 'J226']",Aspergillus panamensis
375,JCM 1622,"['J25', 'J30']",Candida tropicalis
376,JCM 30880,['J118'],Mangrovimonas xylaniphaga
377,JCM 31176,['J346'],Roseomonas suffusca
378,JCM 20078,['J22'],Pseudomonas pavonaceae
379,JCM 5081,['J12'],Aeromonas caviae
380,JCM 20114,['J12'],Escherichia coli
381,JCM 22677,['J30'],Trichoderma longibrachiatum
382,JCM 7962,"['J14', 'J84']",Clostridium acetobutylicum
383,JCM 8015,"['J14', 'J84']",Clostridium acetobutylicum
384,JCM 19480,['J13'],Bifidobacterium adolescentis
385,JCM 7995,"['J14', 'J84']",Clostridium acetobutylicum
386,JCM 2954,"['J25', 'J30']",Bulleromyces albus
387,JCM 14056,"['J25', 'J30']",Holtermanniella wattica
388,JCM 9462,['J282'],Rarobacter incanus
389,JCM 12444,['J13'],Fructilactobacillus sanfranciscensis
390,JCM 8042,['J30'],Endocalyx indumentum
391,JCM 6108,['J22'],Kurthia gibsonii
392,JCM 28311,['J475'],Paenibacillus
393,JCM 18169,"['J30', 'J148']",Simplicillium cylindrosporum
394,JCM 31541,['J118'],Roseovarius confluentis
395,JCM 13050,['J12'],Pseudomonas aeruginosa
396,JCM 33718,['J27'],Klebsiella indica
397,JCM 18444,"['J74', 'J75']",Aureimonas ferruginea
398,JCM 32395,['J346'],Paenibacillus albilobatus
399,JCM 5011,"['J42', 'J58']",Streptomyces
400,JCM 2308,"['J25', 'J30']",Kodamaea ohmeri
401,JCM 9178,['J26'],Microbacterium aurantiacum
402,JCM 11720,"['J30', 'J148']",Ophiostoma
403,JCM 8633,['J13'],Lactobacillus
404,JCM 8936,"['J25', 'J30']",Hannaella coprosmae
405,JCM 1498,"['J23', 'J24']",Bradyrhizobium oligotrophicum
406,JCM 13688,"['J25', 'J30']",Sporobolomyces
407,JCM 22919,"['J32', 'J33']",Aspergillus ruber
408,JCM 9477,"['J25', 'J30']",Starmerella stellata
409,JCM 9729,"['J25', 'J30']",Prototheca moriformis
410,JCM 20138,['J12'],Pseudomonas aeruginosa
411,JCM 33135,['J14'],Cutibacterium acnes acnes
412,JCM 32826,['J475'],Planococcus antioxidans
413,JCM 22428,"['J30', 'J226']",Aspergillus flavus columnaris
414,JCM 22846,"['J30', 'J226']",Penicillium commune
415,JCM 30824,['J118'],Aquimarina aggregata
416,JCM 15527,['J118'],Winogradskyella arenosi
417,JCM 15086,['J443'],Brevibacillus panacihumi
418,JCM 2643,['J12'],Citrobacter freundii
419,JCM 16099,['J22'],Acinetobacter
420,JCM 14516,['J30'],Pycnostysanus azaleae
421,JCM 28356,['J30'],Kendrickiella phycomyces
422,JCM 28850,['J475'],Peribacillus butanolivorans
423,JCM 12874,['J104'],Micromonospora chaiyaphumensis
424,JCM 2387,"['J25', 'J30']",Debaryomyces coudertii
425,JCM 15452,"['J25', 'J30']",Ambrosiozyma kamigamensis
426,JCM 8719,"['J68', 'J77']",Enterococcus hirae
427,JCM 6860,['J282'],Rarobacter
428,JCM 20241,['J22'],Achromobacter
429,JCM 11596,"['J25', 'J30']",Rhodotorula paludigena
430,JCM 17881,['J75'],Acinetobacter
431,JCM 32089,['J118'],Shewanella psychromarinicola
432,JCM 22745,"['J30', 'J226']",Penicillium implicatum
433,JCM 12904,['J30'],Gelatinipulvinella astraeicola
434,JCM 19177,['J346'],Altererythrobacter terrae
435,JCM 2949,"['J25', 'J30']",Candida tropicalis
436,JCM 17636,"['J30', 'J226']",Penicillium viticola
437,JCM 7264,"['J25', 'J30']",Fellozyma inositophila
438,JCM 28616,['J25'],Yamadazyma olivae
439,JCM 2464,"['J25', 'J30']",Debaryomyces hansenii
440,JCM 1997,"['J25', 'J30', 'J148', 'J346']",Kuraishia molischiana
441,JCM 16795,"['J30', 'J148']",Trichoderma
442,JCM 30985,['J386'],Mycobacterium
443,JCM 11449,"['J30', 'J148']",Amorphotheca resinae
444,JCM 22220,['J30'],Aspergillus nidulans
445,JCM 2132,"['J12', 'J22', 'J118', 'J346', 'J739']",Pseudescherichia vulneris
446,JCM 7124,"['J13', 'J14', 'J84']",Bifidobacterium animalis animalis
447,JCM 7916,['J30'],Claussenomyces prasinulus
448,JCM 30078,"['J22', 'J346']",Pseudomonas matsuisoli
449,JCM 6883,"['J25', 'J30']",Sporobolomyces salmoneus
450,JCM 15057,['J27'],Serratia marcescens
451,JCM 15867,['J43'],Nocardia otitidiscaviarum
452,JCM 25330,"['J709', 'J710']",Acetobacter persici
453,JCM 31581,"['J27', 'J346']",Vagococcus humatus
454,JCM 22500,"['J30', 'J226']",Penicillium citrinum
455,JCM 12656,['J30'],Hypomyces pseudocorticiicola
456,JCM 23110,['J30'],Lecythophora mutabilis
457,JCM 16791,"['J30', 'J226']",Penicillium
458,JCM 23147,"['J30', 'J148']",Aphanoascus multiporus
459,JCM 6361,['J30'],Dipodascus tetrasperma
460,JCM 1580,"['J30', 'J32', 'J75', 'J363', 'J617']",Eurotium repens
461,JCM 31155,['J118'],Zeaxanthinibacter aestuarii
462,JCM 18172,"['J30', 'J148']",Simplicillium cylindrosporum
463,JCM 8484,['J150'],Sordaria fimicola
464,JCM 12866,['J26'],Gulosibacter faecalis
465,JCM 22807,"['J30', 'J226']",Penicillium
466,JCM 13779,"['J25', 'J30']",Sporobolomyces
467,JCM 18641,['J574'],Halopenitus salinus
468,JCM 30930,['J172'],Saccharolobus solfataricus
469,JCM 17722,['J804'],Noviherbaspirillum denitrificans
470,JCM 9563,"['J25', 'J30']",Kluyveromyces lactis
471,JCM 5037,"['J42', 'J50']",Streptomyces miharaensis
472,JCM 19536,"['J74', 'J254']",Rhizobium straminoryzae
473,JCM 22206,"['J25', 'J30']",Taphrina coerulescens
474,JCM 20186,"['J26', 'J43']",Rhodococcus erythropolis
475,JCM 15666,['J346'],Pandoraea
476,JCM 6819,['J26'],Rhodococcus hoagii
477,JCM 16286,"['J25', 'J30']",Sporobolomyces phaffii
478,JCM 19897,['J75'],Mesorhizobium soli
479,JCM 16048,['J770'],Tepidanaerobacter acetatoxydans
480,JCM 17086,['J346'],Mucilaginibacter
481,JCM 15815,['J30'],Hypomyces chrysospermus
482,JCM 24184,['J22'],Hafnia alvei
483,JCM 31003,['J25'],Yamadazyma olivae
