,0,1, 
131,DSM 17094,['1033'],Truepera radiovictrix

132,DSM 22629,['1'],Geobacillus thermodenitrificans subsp. calidus

133,DSM 19787,['1381'],Heliorestis convoluta

134,DSM 26424,['514'],Salipiger marinus

135,DSM 4216,"['1', '65', '84', '252', 'J26']",Bacillus smithii

136,DSM 41818,"['65', '252', '554']",Streptomyces griseus subsp. griseus

137,DSM 3188,['90'],Chalara sp.

138,DSM 15488,"['830', 'J346']",Craurococcus roseus

139,DSM 6589,['104c'],Thermanaerovibrio acidaminovorans

140,DSM 24163,"['830', 'J74', 'J346']",Chiayiivirga flava

141,DSM 12538,"['906', 'J758']",Dethiosulfovibrio russensis

142,DSM 41188,['65'],Streptomyces albus subsp. albus

143,DSM 52408,['9'],Myxococcus xanthus

144,DSM 19533,['1145'],Sulfurihydrogenibium rodmanii

145,DSM 100841,"['92', '693']",Myroides odoratimimus

146,DSM 21389,['1342'],Skermanella rubra

147,DSM 6101,['1'],Bacillus thuringiensis

148,DSM 28728,"['514', 'J26']",Mariniluteicoccus endophyticus

149,DSM 105292,['693'],Helicobacter pylori

150,DSM 103441,['693'],Neisseria weixii

151,DSM 53455,['9'],Sorangium cellulosum

152,DSM 115450,['92'],Staphylococcus aureus

153,DSM 18746,['1a'],Ancylobacter oerskovii

154,DSM 25006,['784a'],Methanocalculus natronophilus

155,DSM 41079,"['65', '84']",Streptomyces griseus subsp. griseus

156,DSM 21942,"['830', 'J181']",Halalkalibacter akibai

157,DSM 44557,['65'],Nocardia abscessus

158,DSM 28752,['693'],Arcanobacterium pinnipediorum

159,DSM 44567,['645'],Mycobacterium abscessus subsp. abscessus

160,DSM 110315,['220'],Staphylococcus lugdunensis

161,DSM 24015,['693'],Riemerella columbipharyngis

162,DSM 70763,"['129', '186']",Candida oleophila

163,DSM 11926,"['92', 'J26']",Kocuria rhizophila

164,DSM 13150,['1'],Agrobacterium sp.

165,DSM 52265,['9'],Myxococcus virescens

166,DSM 28916,['92'],Geobacillus thermodenitrificans subsp. thermodenitrificans

167,DSM 41535,['65'],Streptomyces hygroscopicus subsp. hygroscopicus

168,DSM 30629,['220'],Lysinibacillus sp.

169,DSM 102339,['92'],Arthrobacter sp.

170,DSM 25322,['585'],Legionella sainthelensi

171,DSM 102221,['830'],Undibacterium danionis

172,DSM 42057,"['65', '84', '252', 'J42']",Streptomyces staurosporininus

173,DSM 30113,['1'],Kluyvera cryocrescens

174,DSM 45048,"['215', 'J28']",Nocardia jinanensis

175,DSM 19538,['514'],Balneola alkaliphila

176,DSM 5802,['1'],Escherichia coli

177,DSM 24704,['830'],Flavobacterium araucananum

178,DSM 103492,"['1', '65', '252']",Streptomyces lopnurensis

179,DSM 52319,['9'],Myxococcus virescens

180,DSM 43714,"['65', '554']",Micromonospora schwarzwaldensis

181,DSM 20745,['467'],Sphaerobacter thermophilus

182,DSM 43501,"['354', '645']",Mycobacterium kansasii

183,DSM 4519,"['65', '84', '215', '252', '392', '514', '535', '553', 'J43', 'J49', 'J52', 'J57', 'J118']",Lycoperdon perlatum

184,DSM 29980,['830'],Undibacterium seohonense

185,DSM 43337,['65'],Rhodococcus rhodnii

186,DSM 53496,['9'],Sorangium cellulosum

187,DSM 23973,"['58', 'J13', 'J291']",Bifidobacterium callitrichos

188,DSM 12350,['142'],Hydrogenovibrio kuenenii

189,DSM 9262,['1153'],Methylobacterium sp.

190,DSM 28886,"['514', 'J118']",Ahrensia marina

191,DSM 46620,['1'],Deinococcus radiodurans

192,DSM 40419,"['65', 'J42']",Streptomyces sp.

193,DSM 2649,"['11', '514']",Lacticaseibacillus paracasei subsp. paracasei

194,DSM 43347,"['65', 'J57']",Rhodococcus coprophilus

195,DSM 18547,['92'],Microbacterium sp.

196,DSM 14518,"['1', '428']",Xanthobacter sp.

197,DSM 6797,"['9', '67']",Myxococcus xanthus

198,DSM 11567,"['1', '457']",Pseudomonas veronii

199,DSM 9996,"['92', 'J26']",Agrococcus jenensis

200,DSM 6569,['186'],Candida albicans

201,DSM 24031,['830'],Acinetobacter rudis

202,DSM 23550,"['514', 'J118']",Halomonas subterranea

203,DSM 103947,['830'],Microlunatus speluncae

204,DSM 24422,['514'],Meinhardsimonia xiamenensis

205,DSM 43227,"['354', '645', 'J386']",Mycobacterium terrae

206,DSM 17108,['311c'],Pelosinus fermentans

207,DSM 1055,"['1', '11', '53', '65', '92', '210', '220', '293', '462', '535', '595', '775', '776', '830', '987', '1437', 'J26', 'J43', 'J57', 'J111', 'J162', 'J211', 'J346']",Lactiplantibacillus plantarum subsp. plantarum

208,DSM 45778,"['65', '714']",Geodermatophilus sp.

209,DSM 53719,['9'],Polyangium sorediatum

210,DSM 44541,['535'],Rhodococcus sp.

211,DSM 5760,['1'],Brevibacillus sp.

212,DSM 25205,['1426'],Parviterribacter kavangonensis

213,DSM 18268,"['429', '535', 'J27']",Pseudomonas pertucinogena

214,DSM 5037,"['372', '589']",Halorubrum lacusprofundi

215,DSM 23540,['220'],Sporosarcina newyorkensis

216,DSM 18966,"['92', 'J118', 'J569']",Sanguibacter antarcticus

217,DSM 62626,['191'],Cryphonectria parasitica

218,DSM 40708,"['65', '84', 'J42']",Streptomyces lavendulae subsp. lavendulae

219,DSM 51333,['9'],Corallococcus coralloides

220,DSM 27990,"['514', 'J346']",Moheibacter sediminis

221,DSM 7267,"['612', 'J395']",Desulfosarcina cetonica

222,DSM 40241,['65'],Streptomyces sp.

223,DSM 10373,"['1', '11', '78', '535', '693', '735', '830', '1426', 'J346']",Morchella esculenta

224,DSM 23315,['163'],Desulfovibrio lacusfryxellense

225,DSM 18907,"['514', 'J118', 'J569']",Microbacterium awajiense

226,DSM 25602,['514'],Vibrio zhuhaiensis

227,DSM 17518,"['830', 'J346']",Tetrasphaera vanveenii

228,DSM 113054,"['92', '693']",Salmonella enterica

229,DSM 51607,['9'],Corallococcus coralloides

230,DSM 917,"['92', '500', '900']",Arthrobacter sp.

231,DSM 1995,"['129', '514', '514c', '801', '924a', '1094', 'J687']",Penicillium camemberti

232,DSM 108252,"['104c', '110a']",Clostridium ammoniilyticum

233,DSM 102837,['220'],Domibacillus sp.

234,DSM 15732,['1170'],Methylonatrum kenyense

235,DSM 25719,['693'],Paenibacillus larvae

236,DSM 22179,"['92', 'J26']",Kytococcus aerolatus

237,DSM 102772,['1'],Peribacillus frigoritolerans

238,DSM 46765,"['645', 'J386']",Mycobacterium celeriflavum

239,DSM 104303,['1560'],Posidoniimonas corsicana

240,DSM 3122,['90'],Chrysosporium keratinophilum

241,DSM 45865,"['65', '554', 'J61']",Phytohabitans rumicis

242,DSM 23509,"['514b', 'J632']",Halomonas caseinilytica

243,DSM 7148,"['626', 'J598']",Gluconobacter cerinus

244,DSM 62178,['129'],Fusarium coeruleum

245,DSM 110118,['1'],Paenibacillus glucanolyticus

246,DSM 21784,"['104', '693', 'J14', 'J83', 'J84']",Fusobacterium necrophorum subsp. necrophorum

247,DSM 44982,"['65', '84']",Actinacidiphilus wushanense

248,DSM 44190,"['65', '535']",Rhodococcus ruber

249,DSM 4412,"['65', '84', '92', '214', '220', '252', '354', '535', '535a', '645', '693', '830', '1027', 'J26', 'J28', 'J42', 'J43', 'J51', 'J52', 'J61', 'J202']",Aneurinibacillus thermoaerophilus

250,DSM 29371,"['220', '545']",Chryseobacterium rhizoplanae

251,DSM 105867,['9'],Sorangium sp.

252,DSM 17465,"['514', '1071', 'J118']",Pseudovibrio denitrificans

253,DSM 111596,"['9', '67', '535', '830']",Dawidia cretensis

254,DSM 43216,['645'],Mycobacterium avium subsp. avium

255,DSM 41684,"['65', '84', '252', 'J42']",Streptomyces laurentii

256,DSM 16021,"['122', 'J595']",Acetivibrio straminisolvens

257,DSM 2424,"['1', '104c', '129', '693']",Penicillium sacculum

258,DSM 18634,['27'],Rhodoplanes sp.

259,DSM 52563,['9'],Myxococcus virescens

260,DSM 46132,['65'],Streptosporangium roseum

261,DSM 115587,['104c'],Butyrivibrio sp.

262,DSM 30007,"['1', '92', '693', 'J12']",Acinetobacter baumannii

263,DSM 51161,['9'],Corallococcus coralloides

264,DSM 63351,['310'],Drechslera biseptata

265,DSM 9480,['31'],Alkalibacillus haloalkaliphilus

266,DSM 108654,"['830', '1484']",Nocardioides taihuensis

267,DSM 26907,['830'],Mucilaginibacter polytrichastri

268,DSM 18182,"['514', '1461', 'J975']",Salinivibrio sharmensis

269,DSM 52665,['9'],Cystobacter fuscus

270,DSM 21420,"['535', 'J22']",Serratia nematodiphila

271,DSM 102405,['830'],Pseudoduganella sp.

272,DSM 53093,['9'],Nannocystis exedens

273,DSM 2800,"['1', '92', '514', 'J75', 'J475']",Elizabethkingia meningoseptica

274,DSM 52569,['9'],Myxococcus xanthus

275,DSM 340,"['53', '90', '357', '830', 'J672']",Clavibacter insidiosus

276,DSM 51341,['9'],Corallococcus coralloides

277,DSM 25748,['830'],Tumebacillus flagellatus

278,DSM 21991,"['514', 'J118']",Paenisporosarcina antarctica

279,DSM 20342,"['92', '693', 'J13', 'J17']",Carnobacterium maltaromaticum

280,DSM 6979,"['1', '830']",Lysobacter brunescens

281,DSM 53452,['9'],Sorangium cellulosum

282,DSM 100517,"['554', '987', 'J61']",Hamadaea flava

283,DSM 113127,"['1', '381', '535', '907', '1749']",Pseudomonas ibbmi

284,DSM 51778,['9'],Corallococcus coralloides

285,DSM 2985,"['1', '220', '323', '545', '830', 'J1203']",Treponema saccharophilum

286,DSM 15016,"['829', 'J367']",Caminibacter profundus

287,DSM 100495,['785'],Halolactibacillus miurensis

288,DSM 21022,['514'],Alkalilimnicola sp.

289,DSM 30062,['1a'],Enterobacter cloacae

290,DSM 44228,"['65', '553', 'J44']",Saccharopolyspora spinosa

291,DSM 51589,['9'],Corallococcus coralloides

292,DSM 43775,"['65', '83']",Thermoactinomyces sp.

293,DSM 2814,"['92', '215', '312', '513', '693', '830']",Runella sp.

294,DSM 10805,['381'],Escherichia coli

295,DSM 24088,"['641', 'J866']",Desulforamulus aquiferis

296,DSM 17065,['92'],Deinococcus deserti

297,DSM 2416,"['90', '92', '535', '693', '830', '1361', 'J74', 'J346', 'J835']",Penicillium hispanicum

298,DSM 53490,['9'],Sorangium cellulosum

299,DSM 107232,['830'],Gordonia bronchialis

300,DSM 110938,['92'],Acinetobacter lwoffii

301,DSM 11254,"['58', '215', '793']",Moorella glycerini

302,DSM 52813,['9'],Archangium violaceum

303,DSM 11098,"['65', '92', '104', '215', '220', '339', '465', '693', '840', '1203a']",Cupriavidus necator

304,DSM 70389,['186'],Wickerhamomyces strasburgensis

305,DSM 19800,['514b'],Saccharospirillum salsuginis

306,DSM 15870,['545'],Psychrobacter fozii

307,DSM 3757,"['97', '372', 'J168']",Haloferax volcanii

308,DSM 43717,"['65', '554']",Micromonospora sp.

309,DSM 100195,['287'],Methanoculleus chikugoensis

310,DSM 22119,['403'],Borrelia carolinensis

311,DSM 100439,"['514', 'J443']",Geobacillus sp.

312,DSM 8607,"['92', 'J26']",Microbacterium dextranolyticum

313,DSM 51444,['9'],Corallococcus coralloides

314,DSM 3345,['90'],Armillaria mellea

315,DSM 43513,"['215b', '354']",Mycobacterium scrofulaceum

316,DSM 30589,['220'],Bacillus cereus

317,DSM 101079,['255'],Acetivibrio saccincola

318,DSM 22897,"['457', '535']",Comamonas sp.

319,DSM 52357,['9'],Myxococcus virescens

320,DSM 13726,['732a'],Sulfurospirillum halorespirans

321,DSM 12940,"['927', 'J294']",Halorhabdus utahensis

322,DSM 15708,['11'],Paucilactobacillus oligofermentans

323,DSM 858,"['1', '11', '129', '150a', '394']",Paraconiothyrium brasiliense

324,DSM 110103,['92'],Phage (phagum)

325,DSM 40262,"['65', '252', 'J45', 'J58']",Streptomyces bottropensis

326,DSM 23564,"['371', 'J167']",Halorubrum alkaliphilum

327,DSM 16994,"['1020', 'J340']",Sulfuricurvum kujiense

328,DSM 2259,"['9', '90', '222', '1266']",Corallococcus coralloides

329,DSM 107235,['830'],Paracoccus sp.

330,DSM 133,"['1', '1a', '11', '27', '58', '63', '78', '98', '104', '120b', '129', '186', '220', '370', '377', '390', '457', '503', '503a', '514', '693', '1587', 'J13', 'J14', 'J22', 'J79', 'J118', 'J151', 'J269', 'J841', 'J1146']",Blastochloris viridis

331,DSM 11814,"['1', '428', '885']",Roseateles depolymerans

332,DSM 14187,['1'],Serratia marcescens

333,DSM 53714,['9'],Stigmatella erecta

334,DSM 15702,['110'],Eubacterium siraeum

335,DSM 23419,['514c'],Aliivibrio finisterrensis

336,DSM 45202,"['65', '250']",Mycobacterium sp.

337,DSM 24271,['1329'],Methanosaeta pelagica

338,DSM 107189,['830'],Sphingoaurantiacus polygranulatus

339,DSM 51214,['9'],Corallococcus coralloides

340,DSM 13541,"['925', 'J312']",Thioalkalivibrio paradoxus

341,DSM 42154,['65'],Streptomyces sp.

342,DSM 43855,"['65', 'J58']",Actinokineospora fastidiosa

343,DSM 102121,"['65', '84']",Streptomyces fabae

344,DSM 6980,"['1a', '67', '830']",Lysobacter gummosus

345,DSM 51421,['9'],Corallococcus coralloides

346,DSM 116873,['92'],Myroides odoratimimus

347,DSM 30120,"['1', '92', '693', 'J12', 'J22']",Providencia alcalifaciens

348,DSM 52201,['9'],Myxococcus stipitatus

349,DSM 7379,['591'],Halanaerobium saccharolyticum subsp. senegalense

350,DSM 1428,"['92', '453', '514', '535', '945', 'J26', 'J299']",Rhodococcus sp.

351,DSM 30995,['830'],Methylobacterium sp.

352,DSM 46358,"['535', '693']",Pseudomonas aeruginosa

353,DSM 30648,['220'],Bacillus sp.

354,DSM 566,"['1', '11', '51', '282', '496', 'J13', 'J14', 'J232']",Sphaerotilus hippei

355,DSM 103944,"['104b', 'J14', 'J612']",Clostridium pabulibutyricum

356,DSM 110571,['11'],Limosilactobacillus reuteri subsp. porcinus

357,DSM 21521,['1113'],Leptospira terpstrae

358,DSM 41143,"['65', '84']",Kitasatospora aureofaciens

359,DSM 112735,['90'],Simplicillium lamellicola

360,DSM 46767,"['65', '535', '553', '554']",Phytomonospora cypria

361,DSM 43299,['354'],Mycobacterium smegmatis

362,DSM 30867,['92'],Acinetobacter ursingii

363,DSM 18762,['899'],Caldanaerobacter subterraneus subsp. uzonensis

364,DSM 104120,['1'],Bacillus mycoides

365,DSM 5113,"['9', '90']",Venturia populina

366,DSM 22110,['514'],Albidovulum sp.

367,DSM 44251,"['737', '1536']",Frankia sp.

368,DSM 62596,['190'],Setosphaeria rostrata

369,DSM 21054,['830'],Filimonas lacunae

370,DSM 4631,"['426', '693']",Neisseria sp.

371,DSM 30769,['220'],Bacillus licheniformis

372,DSM 6997,"['514', 'J118']",Erythrobacter longus

373,DSM 19449,['514'],Glutamicibacter soli

374,DSM 40852,"['65', '84', 'J42', 'J66']",Streptomyces sp.

375,DSM 101799,['1585a'],Thermithiobacillus plumbiphilus

376,DSM 53694,['9'],Stigmatella erecta

377,DSM 20460,"['104', 'J14']",Megasphaera elsdenii

378,DSM 24552,['830'],Nocardioides perillae

379,DSM 14564,"['514', 'J22', 'J28']",Brachybacterium fresconis

380,DSM 28992,['514'],Salinicoccus sp.

381,DSM 101100,['1'],Caenibacillus caldisaponilyticus

382,DSM 21284,"['92', '693', 'J75']",Staphylococcus pseudintermedius

383,DSM 22426,['508'],Dictyoglomus sp.

384,DSM 12440,['514'],Pseudoalteromonas sp.

385,DSM 46879,"['65', '553', 'J42']",Actinoplanes deserti

386,DSM 6805,"['220', '531']",Bacillus aminovorans

387,DSM 12139,"['830', '1315']",Thauera terpenica

388,DSM 6958,"['186', 'J25', 'J30']",Nadsonia fulvescens var. elongata

389,DSM 19413,['830'],Rheinheimera soli

390,DSM 109769,"['104', '693', 'J14']",Cutibacterium modestum

391,DSM 53060,['9'],Nannocystis exedens

392,DSM 9894,"['27', '748', 'J358']",Rhodocista centenaria

393,DSM 101701,['535'],Phage (phagum)

394,DSM 103878,['381'],Phage (phagum)

395,DSM 100927,"['402', 'J49']",Pullulanibacillus pueri

396,DSM 26047,"['120a', 'J230', 'J944']",Methanosarcina spelaei

397,DSM 14981,"['760', 'J280']",Thermococcus thioreducens

398,DSM 43915,"['65', '554', 'J47']",Micromonospora sp.

399,DSM 43098,['65'],Pseudonocardia autotrophica

400,DSM 11919,['90'],Coriolopsis gallica

401,DSM 62416,['129'],Fusarium solani

402,DSM 20516,"['104', 'J14']",Prevotella disiens

403,DSM 28300,"['92', '693', 'J256', 'J475']",Staphylococcus schweitzeri

404,DSM 24110,"['92', '220', '693']",Acinetobacter baumannii

405,DSM 52298,['9'],Myxococcus virescens

406,DSM 1743,"['63', '90', '92', '514', '535', 'J443']",Desulfomicrobium baculatum

407,DSM 18633,['27'],Rhodoplanes serenus

408,DSM 16380,"['429', '429a']",Nicoletella semolina

409,DSM 12459,"['630', '878', 'J1024']",Thermus igniterrae

410,DSM 103994,['693'],Rodentibacter myodis

411,DSM 25276,['693'],Neisseria oralis

412,DSM 19350,"['838', 'J747']",Geotalea toluenoxydans

413,DSM 777,"['1', '65']",Gordonia alkanivorans

414,DSM 52524,['9'],Myxococcus fulvus

415,DSM 17083,['220'],Pseudomonas stutzeri

416,DSM 41022,"['65', '84']",Streptomyces sp.

417,DSM 106890,['1630a'],Nitrosopumilus adriaticus

418,DSM 100211,['98'],Rhizobium azooxidifex

419,DSM 45800,"['535a', 'J26', 'J28', 'J256']",Corynebacterium frankenforstense

420,DSM 16944,['220'],Paenibacillus cookii

421,DSM 70740,['85'],Dekkera bruxellensis

422,DSM 103247,['381'],Escherichia coli

423,DSM 28542,['1537'],Spiribacter curvatus

424,DSM 41285,"['65', '84']",Streptomyces sp.

425,DSM 18200,"['220', 'J75']",Paenibacillus motobuensis

426,DSM 62111,['188'],Chaetomium nozdrenkoae

427,DSM 108984,['339'],Limosilactobacillus ingluviei

428,DSM 52451,['9'],Myxococcus xanthus

429,DSM 21032,"['78', '693', 'J282']",Barnesiella intestinihominis

430,DSM 107831,['830'],Aliidongia dinghuensis

431,DSM 27008,['1193'],Chlamydia psittaci

432,DSM 24903,"['78', '693', '1203a']",Phocaeicola dorei

433,DSM 43024,"['82', '83', 'J80']",Nocardia brevicatena

434,DSM 52953,['9'],Nannocystis exedens subsp. aggregans

435,DSM 41758,"['65', '84']",Streptomyces albidoflavus

436,DSM 51874,['9'],Corallococcus exiguus

437,DSM 100899,"['92', '693']",Myroides odoratimimus

438,DSM 23359,['129'],Fusarium avenaceum

439,DSM 43503,"['219', '354', '426']",Mycobacterium kansasii

440,DSM 104676,['830'],Massilia armeniaca

441,DSM 46113,"['65', '83']",Sporichthya polymorpha

442,DSM 52502,['9'],Corallococcus coralloides

443,DSM 19759,"['514', '1332']",Algoriphagus aquaeductus

444,DSM 52261,['9'],Myxococcus virescens

445,DSM 9221,"['220', 'J12', 'J22']",Salmonella enterica subsp. houtenae

446,DSM 102558,['1618'],Variovorax sp.

447,DSM 107561,"['535', '987']",Antrihabitans stalagmiti

448,DSM 282,"['1', '1a', '3', '90', '92', '104b', '129', '142', '186', '220', '382', '429', '429e', '441', '514', '535', '693', '804', '830', 'J25', 'J26', 'J30', 'J118', 'J256', 'J475', 'J1023']",Azotobacter beijerinckii

449,DSM 20316,"['92', '693', 'J12']",Staphylococcus warneri

450,DSM 45537,['65'],Nocardia amikacinitolerans

451,DSM 109740,['1076b'],Oceanivirga miroungae

452,DSM 19901,['1076b'],Spiroplasma chrysopicola

453,DSM 51115,['9'],Corallococcus coralloides

