Bacillus sp.,"['463', 'J84', '1004', '141c', 'J335', '514c', '187', '1426', 'J245', '31', '939', '186', '104', '738', '882', '956', '923', 'J324', '963', 'J41', 'J47', '215a', 'J181', '1076b', '141', 'J365', '34', '282', '54', '104c', '924', 'J336', '829b', '1a', '909', 'J43', '996', '1193', '887', 'J14', '1165', 'J118', 'J786', 'J296', 'J303', '1611', '940', '90', '142', 'J66', '27', '829', '381', '715', 'J346', '98', '674', '718', '360', '911', '905', '693', '7', '1321', '658', '220a', 'J410', '1062', '453', 'J337', '628', '311c', 'J299', '994', '195', '461', '950', '1151', '514a', 'J93', '1042', '895', '508', '740', '553', 'J27', '123', 'J280', 'J741', '429', '53', '1272', '826', '11', 'J305', '104b', 'J256', '393', '924a', '964', '503b', '830', 'J61', '1716', '736', '193', '530', '791', '664a', '462', 'J111', '582', '1602', '457b', '465', 'J263', 'J232', '878', '975', '545', '915', '973', '464', '893', 'J182', 'J275', '1122', '11b', 'J25', '586', 'J316', '252', 'J57', '535b', 'J22', 'J498', '339a', 'J30', 'J42', '514f', '189', 'J366', '1015', '135', 'J52', '214', '144a', '215', '935a', '899', 'J28', '392', '194', 'J74', '220', 'J436', '362', '550', '434', '1140', 'J609', '987', '92', 'J469', '251', 'J582', '1159', '514', 'J475', '63', '1341', 'J339', '513', '548', '452', 'J45', '9', 'J675', 'J443', '423', '26', '110', '372', '67', '988', 'J1130', 'J465', '1019', '10', '914', '477', '965', '1005', '894', '503', '1', '81', '83', 'J461', '954', '97', '958', '1148', 'J77', '924b', 'J470', '684', 'J302', 'J211', '71', '977', 'J168', '907', '945', '910', '960', '961', 'J341', '143', 'J315', '195c', '1203a', '413', '65', '535a', '86', 'J386', '310', 'J58', '255', '610', '469', '645', '585', 'J487', '636', '129', '383', '188', '190', '535', 'J13', '1805', '6', '955', '1191', '877', 'J12', '514d', '8', '155', '88a', '942', 'J75', '1242', '935', '1526', 'J853', '9a', '938', '144', '830c', '962', '483', '61', '554', '405', 'J144', '1100', 'J323', '84', '86a', '105', 'J314', '760', '948', '976', '457', '402', '78', 'J408', 'J373', 'J265', '330', '507', 'J297', 'J840', '514b', '531', 'J1196', 'J44', '966', '73', 'J49', '231', '428', '242', 'J282', 'J97', '1728', '191', 'J322', 'J50', '339', '634', '534', '12', 'J677', '925', '776', 'J330', 'J101', '884', '246', 'J26', '262']"
Brevundimonas sp.,"['1618', '220', '830', '545', '595', '92', 'J118', '1076b', '535', '381', '1', '514']"
Bradyrhizobium oligotrophicum,"['953', 'J14', 'J74', 'J346', 'J118', 'J75', '952', 'J24', 'J661', 'J23']"
Candida albicans,"['J22', '90', 'J30', 'J12', '874', 'J226', '104b', '1693', '514', '939', '792b', '129', '186', 'J129', 'J25', '1', '169b', '311c', '932', 'J168', '411', 'J440', '220', '53', '931', 'J526', 'J118', 'J386', 'J26']"
Bartonella fuyuanensis,['693']
Nannizzia praecox,['1429']
Arthrobacter parietis,"['J569', '92', 'J118', '514']"
Saccharomyces cerevisiae,"['90', 'J30', '92', '11', 'J226', '58', '393', '514', 'J708', 'J552', 'J475', '830', 'J346', '1057', '129', '186', '104', 'J483', '1', 'J25', '215', '377', 'J32', '1a', 'J28', '194', '535', '457', 'J13', '220', 'J148', '1068', 'J118', 'J151', '246a', 'J26', '693']"
Corallococcus coralloides,"['90', 'J436', 'J124', '1266', '67', '9', '222']"
Escherichia coli,"['634c', 'J429', '141c', '995', '1669', '987', 'J12', '92', '830a', '1459', '514d', '306', '133', '1635', 'J1013', '514c', '58', '238', '1484', '514', 'J475', '93', '31', '606', 'J398', '403', '553', '186', 'J75', '1025', '63', '269', 'J156', '104', '513', '548', '1775', '213', '1523', 'J27', '1167', '1715', '237', '944a', '9', 'J443', '429', 'J1230', '136', '110', '372', 'J181', '1076b', '554', 'J1130', '988', '54a', '215c', '1253', '1040', '11', '325', '456', '122', '104b', '1203', 'J256', '54', '84', '830', '104c', '924', 'J61', '1250', '105', 'J254', '1', '1684', '83', '1a', '119', '382', '948', 'J43', '462', 'J111', '78', '518', 'J14', '694', '110a', 'J302', 'J118', 'J415', '1611', '1163', 'J168', '907', '1714', '330', '54b', '90', '545', '1270', 'J59', 'J66', '794', 'J998', 'J1162', '232', '1660', '464', '381', '1160', '298', '120d', 'J346', '1277b', '785', '98', '641', '1203a', 'J25', '590', '370', '240', '252', '398', 'J180', '88c', '231', '394', '35', '65', 'J1291', '428', 'J57', '535b', '544', '101', '840', '585a', 'J386', '310', '693', 'J22', '1560', 'J1251', '255', 'J598', '212', '1713', '339a', '514f', '189', '1135', '250', '1113', '1015', 'J30', '220a', 'J1052', 'J282', '191', '645', '354', '585', '1429', 'J52', '129', '1144', '1697', '546', '215', '450', '505', '339', '661', 'J28', '426', '194', '655', '535', '1011a', 'J13', '465b', 'J677', 'J74', '220', 'J1227', '246', '1010', 'J26', '434']"
Bordetella parapertussis,"['438', '215', '693']"
Mycobacterium sp.,"['645', '830c', '354', '830', '220', '92', '621', '250', '461', '98', '535', '219', '215b', '82', '1', '215', '65']"
Streptococcus parasuis,"['J28', '693', '92']"
Corallococcus exiguus,"['J436', '942', '67', '9']"
Anaerococcus jeddahensis,['104']
Alteromonas mediterranea,['514']
Cystobacter gracilis,"['67', 'J436', '9']"
Blautia glucerasea,"['J14', 'J674', '104b', 'J676']"
Promicromonospora vindobonensis,"['J26', '65', '92']"
Caldivirga maquilingensis,"['J236', '883']"
Psilocybe cubensis,"['1417', '90', '189', '92', '514f', '514c', 'J97', '514', '830', '1097', '104', '1', '989', '1a', '665', '1011', '535', '457', '1161', '258', '220', 'J356', 'J118', '1023', '141', '246', '246a', '310']"
Streptomyces sp.,"['J22', '90', '557', '545', '248', 'J66', 'J42', '987', 'J12', '11', '1081', '92', '514', '84', 'J50', '830', 'J61', '1153', '553', '63', '479', 'J44', '1', '681', '693', '252', 'J45', '425', 'J43', '194', '535', '65', 'J81', '220', '657', '554', '878', '215b', 'J58']"
Agromyces sp.,"['830', '92', '514', '65']"
Clostridium perfringens,"['J84', '90', '189', '220a', '104b', '1203', '514', '191', '830', '129', '1203a', '1', '130', '339', '194', '190', '461', 'J13', '78', 'J14', '110', '458', '693']"
Metamycoplasma gateae,['1076b']
Myxococcus virescens,"['J14', '634c', 'J436', 'J124', '339a', '78b', 'J655', '67', '1076b', '9', 'J282', '514', '222']"
Vibrio campbellii,"['J22', 'J7', '514f', '514']"
Companilactobacillus farciminis,"['J84', 'J13', '11']"
Micrococcus luteus,"['J388', 'J22', '1008', '92', 'J541', 'J475', '309', '830', 'J346', '641', '1', '513', 'J28', '535', 'J443', 'J14', 'J677', '496', '220', 'J26', '693']"
Phaeobacter gallaeciensis,"['J118', '514']"
Nocardiopsis arabicus,"['1159', '910']"
Beauveria brongniartii,['190']
Phaeobacter inhibens,['514']
Alkalihalobacillus okuhidensis,"['J181', '215']"
Archangium gephyra,"['J14', 'J423', '282a', '110', '830', '339a', '1542', 'J232', '9', '104', '1', '222', '693']"
Actinoallomurus amamiensis,"['987', '553']"
Aggregatibacter actinomycetemcomitans,"['J14', 'J84', 'J70', '215', '535', 'J156', 'J256', '1', '514', '693']"
Myxococcus fulvus,"['987', '250', '219', '251', '84', '645', '354', 'J124', 'J52', '553', '531', '83', '252', '426', 'J43', '535', '9', 'J49', 'J51', '65', 'J57', 'J436', '67', '554', '215b', 'J386', 'J26', '693']"
Demequina rhizosphaerae,['514']
Aspergillus unguis,"['195a', 'J30', '129', '807', 'J226', 'J31', '298b']"
Amnibacterium soli,"['J26', '830']"
Paradesulfovibrio bizertensis,['163']
Sorangium cellulosum,"['1277', '830', 'J436', 'J28', 'J925', '92', '223', '514', '736', '535', '9', 'J13', '58', '938', '693']"
Streptococcus suis,"['696', '693', '92']"
Massilia consociata,"['1', '535']"
Acinetobacter baumannii,"['220', 'J12', '92', '381', '1', '215', '693']"
Pseudonocardia saturnea,"['220', '220a', '63', '535', '457', '80', '81', '83']"
Cystobacter fuscus,"['J14', '9', '104', '1', '514', '222']"
Heyndrickxia acidiproducens,"['J75', '220']"
Stackebrandtia albiflava,"['J61', '554', '65']"
Phaeospirillum sp.,"['90', 'J192', '1494', '27', '141c', 'J30', '189', '92', '830a', '220a', '826', 'J226', '104b', '464', '853', '78a', '191', '822', '514', '830', '671', '926', '129', '821', '186', '98', '63', 'J75', '711a', '195c', '1', 'J25', '215', '818', '1a', '119', '1523', '97', '665', '760', '948', '535', '804', '402', '464a', '887', '429', 'J74', '1315', '220', '535b', '372', '514a', '842', 'J168', 'J26', '310', '693']"
Streptomyces griseus subsp. griseus,"['J22', '90', '545', 'J66', '1700', '987', '514f', '92', '11', '381', '58', '1484', '514', '84', 'J475', 'J50', '830', 'J720', 'J58', 'J61', '129', '104', '1076', 'J44', '1', '215', '1775', 'J19', '252', 'J28', 'J27', 'J45', 'J43', '535', 'J13', '429', '65', 'J14', '220', '53', 'J118', '1076b', '554', 'J26', '693']"
Luteibacter anthropi,['535']
Haemophilus influenzae,"['65', '339', 'J1270', '898a', '898b', 'J43', '92', 'J1078', '804', '1203', 'J1077', 'J26', '514', '429', '693']"
Novosphingobium marinum,"['J118', '514c']"
Bacillus thuringiensis,"['J84', 'J22', '90', 'J598', 'J97', '58', 'J475', '129', '105', '186', '104', '1203a', '1', '339', '360', '78', 'J14', '110', '220', '693']"
Micromonospora maris,"['252', 'J61', '553', '65']"
Komagataeibacter intermedius,"['1430', 'J709', '849', '11', '850']"
Trametes gibbosa,"['90', '9']"
Anaerococcus prevotii,"['J14', 'J84', '104']"
Amphibacillus sediminis,"['220', 'J652']"
Pseudonocardia sp.,"['830', '553', '535', '83', '65']"
Kocuria sp.,"['830', '220', '987', '92', '1', '514']"
Bosea thiooxidans,"['763', '545']"
Pleomorphochaeta multiformis,"['J852', '1271']"
Oliverpabstia intestinalis,"['J14', '339', 'J1130', '1203a', '693']"
Adlercreutzia muris,"['339', '1203', '78', '215', '693']"
Roseococcus suduntuyensis,['1217']
Streptomyces indiaensis,"['J42', '553', '84', '65']"
Pseudonocardia autotrophica,"['J57', 'J599', 'J169', '514b', '372', '214', '593', '535', '9', '80', '182', '81', '938', '65', '693']"
Antrodia variiformis,['90']
Mycobacterium farcinogenes,"['645', '354', '92', '219', 'J712', '693']"
Paenibacillus larvae,"['J30', '1', '186', 'J25', '262', '693']"
Phage (phagum),"['220', '545', '544', '1669', '92', '215', '1725', '535', '1203', '381', '1', '514', '65']"
Actinomycetospora atypica,"['J104', '65']"
Thermomicrobium roseum,"['592', '9']"
Glaciecola sp.,['514']
Rhodococcus sp.,"['1004', 'J12', '92', '514c', '514', '88a', 'J75', '956', '110', '53', '162', '372', '141', 'J144', '1100', '1019', '11', '104b', '282', '54', '914', '408', '830', '104c', '503', '105', '736', '1', '81', '829b', '1a', '958', '909', '664a', 'J43', '462', '996', '457', 'J14', '457b', 'J118', '71', 'J232', 'J168', 'J265', '907', '945', '90', '600', '381', 'J297', 'J182', 'J341', 'J840', '195c', '966', '360', '65', '693', 'J22', '255', '339a', '514f', '220a', 'J282', 'J97', '645', '354', '461a', '453', '129', '383', '215', 'J299', 'J230', '339', '994', '120', '899', 'J28', '426', '534', '461', '535', 'J13', '955', '220', 'J26']"
Carnobacterium mobile,"['J17', '92']"
Pectobacterium zantedeschiae,"['1', '535']"
Schaalia naturae,['104']
Pseudomonas sp.,"['90', '545', '1494', '189', '92', '220a', '11', '276', '381', '54', '514', '442', '198', '907', '830', '461a', '1716', '514b', '129', '63', '186', '459', '625', '104', '738', '728', '188', '1', '81', '215', '339', '1a', '837', '1523', '760', '377a', 'J280', '462', '461', '944a', '535', '457', '428', '830c', '220', '465d', 'J41', '535b', '465', '825a', 'J118', '1543', '215b', '793', '693']"
Peribacillus sp.,"['J475', '109', '917', '220', 'J26', '959', '607a', 'J377', '92', '967', '641', '1', '514']"
Prosthecobacter dejongeii,['628']
Myroides odoratimimus,"['693', '92']"
Xanthomonas hortorum,"['54', '1']"
Stieleria neptunia,['1560']
Bacillus licheniformis,"['J84', '632', '904a', '141c', '238', '514c', 'J261', '859', '833', '187', '109', '939', '1022', '186', '104', '923', '993a', '928', '430', '1014', '638', '968', '1006', 'J41', 'J181', '141', 'J841', '879', 'J354', '778a', '946a', '282', '54', '104c', '1a', 'J43', 'J325', '149', 'J14', '110a', 'J751', 'J749', 'J118', 'J303', '90', '142', '27', '829', 'J1146', '381', 'J346', '912', '98', '732a', '1171', '641', '864', '718', '360', '991', '92a', '383b', '1298', '146', '998', '693', '7', 'J383', '195a', '220a', '860', '371', '992', 'J389', '120', 'J169', '192', '1085', '195', '461', '950', 'J486', '153', '944', 'J485', '104a', '504', '1058c', '607a', '115', '514a', 'J426', '1075', '68', '605', 'J396', '144b', '895', '995', '999', '1669', 'J1234', '921', '28', 'J191', '740', '553', '830b', 'J156', 'J27', 'J280', '123', '1003', '411', '429', '957', '53', '162', '931', '971', '990', '1181', '842', '1040', '826', '11', '104b', 'J256', '1058d', '393', '193b', '924a', '830', '1051', '193', 'J1025', '908', '1058b', '462', '943', 'J111', '582', '1602', '457b', '465', 'J232', '878', '148', '913', '1175', '545', '464', '904', '1001', 'J269', '1149', 'J348', '997', '11b', 'J367', '989', '500', '993c', 'J370', '1315', '1013', '535b', '544', '959', '141b', 'J350', 'J151', '441', 'J388', 'J22', '903', '1046', '339a', 'J42', '189', '514f', '875', 'J242', '354', '1429', '1017', '1050', 'J52', '215', '1540', '899', 'J28', '194', '919', '220', '858', 'J236', 'J416', '140', 'J429', '987', '92', '830a', 'J469', '133', '58', '514', 'J475', '209', '63', '1002', '804', '792a', 'J443', '110', '26', '372', '621', 'J277', '988', 'J1130', 'J465', '215c', '917', 'J266', 'J246', '946', '1203', '965', 'J167', 'J363', '120a', '503', 'J531', '81', '1', '130', '119', '883', '97', '958', '382', '377a', '120b', 'J257', '1430', 'J160', 'J211', '520', '1058', 'J168', '907', '533', '960', '829c', '876', '1160', 'J488', 'J514', 'J341', '920', 'J364', '195c', '438', '1203a', '377', '3', 'J32', 'J309', '640', '65', '535a', '310', 'J371', 'J320', '947', '645', '585', '1423', '129', '63b', '383', '188', '87a', '190', '535', 'J13', '6', '1587', '390', 'J489', 'J397', '246a', 'J300', '1010', 'J112', '993b', 'J12', '829a', '606', '1176', '936', '11a', '1170', 'J75', '169b', '147', '213', '1523', 'J853', 'J757', '579', '76', '944a', 'J375', '13', '974', '144', '830c', '136', '1163a', '1034', '61', 'J377', '986', '1007', '122', '851', '84', 'J344', 'J284', '105', '937', '1000', '760', '948', '457', '402', '78', 'J362', '979', '429b', 'J310', '981', 'J908', '967', '142a', '922', '370', '932', '1058a', 'J82', '217', 'J312', '231', '428', '232b', '836', '896', '838', 'J282', 'J97', 'J311', 'J70', 'J79', 'J262', '339', '897', '503a', '534', '937a', '925', '776', 'J101', '884', '246', 'J26']"
Catenulispora graminis,"['84', '65']"
Methylosinus sp.,"['1007', '830']"
Arthrobacter sp.,"['830', '900', '220', '500', '53', '461b', 'J26', '92', '535', '457', '441', '378', '1', '514', '465f', '693']"
Xanthomonas cassavae,['1']
Vibrio zhanjiangensis,['514']
Clostridium sp.,"['634c', '77', '1669', '92', '286', 'J468', '420', '514', '553', '186', '63', '104', 'J676', '85', '76', '9', 'J675', '411', '429', '457a', '830c', '110', 'J931', '1076b', '554', 'J1130', 'J465', '215c', '514e', '122', '104b', '1203', '84', '104c', '830', '1531', '503', '1517', '1', '1412', '497', '78', '1332', 'J14', '110a', 'J118', '311', '54b', '90', '545', '785', '98', '641', '1203a', 'J25', '500', '252', '640', '65', '693', 'J22', '557', '339a', 'J30', '585', '1186', '860', '129', '339', 'J28', 'J523', '535', '558a', 'J13', '523', 'J1125', 'J26']"
Sediminispirochaeta sinaica,['1526']
Nannocystis exedens,"['J22', '626', 'J598', '92', '220a', '514c', 'J256', '381', '58', '514', '471', '574', '105', 'J139', '383', '215b', '1', '215', '1a', '240', '719', '190', '360', '9', '457', '535', '78', '535a', '220', '465d', 'J302', '67', '246', '246a', '693']"
Mycobacterium longobardum,"['645', 'J386']"
Lebetimonas acidiphila,"['795a', 'J417']"
Scopulibacillus sp.,['830']
Aspergillus glaucus,"['J14', 'J33', 'J118', 'J168', '187', 'J32']"
Bacillus cereus,"['92', '2', '1484', '514', '187', 'J475', '553', '63', '186', '459', '104', '548', '1523', 'J27', 'J104', '163', 'J443', '429', '53', '342', '1076b', '54a', 'J535', '11', 'J256', '54', '1330', '84', 'J710', '830', 'J61', '1', '119', '1a', 'J237', '358a', 'J43', '350', '457', 'J175', 'J48', '333', 'J295', 'J118', '21', '215b', '90', 'J174', '381', '364', 'J709', 'J346', 'J25', '343', 'J82', '252', '65', 'J57', '310', '693', 'J22', '1015', '189', 'J42', 'J30', '191', 'J50', 'J52', '214', '129', '215', '311c', 'J28', '190', '535', 'J51', 'J74', '220', 'J26']"
Micromonospora sp.,"['1040', '1284', '1560', '90', '248', '987', 'J30', '11', '92', '1048', '514d', '104b', '381', '58', '514', '84', '924a', '555', 'J475', '198', '645', 'J50', '830', '104c', '1429', 'J61', '1250', 'J346', '1654', '129', '553', '186', '104', '1203a', '1', '83', '215', '252', '462', 'J43', 'J104', '535', 'J51', '127', '65', '735', 'J1166', '428', '429', 'J57', '220', '544', 'J47', '1646', '554', '215b', 'J26', '693']"
Myxococcales unclassified,['9']
Bacillus subtilis,"['634a', '463', '634c', 'J84', '1004', '1622', '600a', '141c', 'J617', '514c', 'J1177', '1484', '1426', '31', '825', '186', '1680a', 'J1103', '104', 'J676', 'J162', '1775', '1027', '673', '1606', 'J41', 'J181', '1076b', 'J161', '1543', '1505a', '429c', '879', 'J1218', '946a', '54', '503e', '1234', '104c', '924', '1250', '1699', '1831a', '56', 'J1123', 'J349', '1a', '742', 'J43', '1011', 'J1104', 'J48', 'J14', '110a', '1625', 'J505', '1594', 'J118', '1611', '90', 'J1015', '142', 'J66', '27', '1668', 'J1093', '1660', '381', '298', 'J346', '98', '641', '766', 'J1210', '755', '803', 'J1246', '718', '196', 'J456', '911', '703', '735', '323', 'J1154', '764', '383b', '840', '1590', '993', '693', '7', '1321', '195a', '1695', '1713', 'J832', '1793', '1681', '756a', '1595', '1727', '198', 'J916', '311c', '371', '829d', '120', '1675', 'J1064', '1593', 'J51', '210', '504', '1790', 'J141', '514a', 'J426', 'J1099', '1669', '1534', 'J1234', '921', '1635', '1033', '1498', '1271', '88', '403', 'J1270', '553', '754', 'J307', 'J1194', 'J1150', '665', 'J27', 'J1318', '1715', '123', 'J280', 'J104', '1609', '1630a', '429', 'J1156', 'J1142', '53', 'J1314', '717', '162', '54a', '813', '1052', '1672', '1040', '11', '104b', 'J231', 'J256', '924a', '964', 'J860', '1101', '830', 'J61', '854', 'J1172', '736', '1076', 'J1077', '1684', '193', '791', 'J574', '462', 'J111', 'J1078', '852', '465', '1277a', '878', '1626', '311', '1624', '1677', '545', 'J1162', '709', 'J1190', '464', '788', '1597b', '120d', '1680', '1122', '11b', 'J1198', '259', 'J25', '711', '756', 'J138', '769', '500', '252', '1726', 'J57', 'J965', '535b', '544', '720', '1118', 'J53', '1266a', '1690', '457d', '441', 'J22', '1578', '339a', 'J30', '514f', 'J42', '189', '250', '1015', '135', '1536', '1671', '1693', 'J351', 'J1115', '354', '1429', 'J1117', 'J52', '1697', '215', '503f', 'J28', '194', 'J391', '436', 'J1049', 'J74', '220', 'J528', 'J1125', 'J1227', '716', '1585a', '1617', '1629', '987', '92', 'J469', 'J83', '133', '58', '1159', '514', 'J475', 'J1193', '1654', '898b', '63', '269', '282b', '1676', '1341', '1304', '513', '548', '813b', 'J45', '705', '1527', '9', 'J530', '804', '1441', '163', '1302', '212a', 'J443', '260', 'J1230', '110', '1274', '372', '621', '67', '756c', '1665', 'J1155', '1041', 'J1130', 'J465', '215c', '1437', '1621', '1081', '1203', 'J612', 'J1068', 'J167', 'J363', '1190', '894', '120a', '503', '1634', '1', '81', '83', '130', '1628', '119', 'J1069', '377a', '1688', '120b', 'J77', '722', '684', 'J211', '71', 'J651', 'J168', '253', '907', '1714', '480c', '1732', 'J1238', '960', 'J1107', 'J174', '1279', 'J698', '1210c', 'J1116', '1585', '926', '785', '293', '195c', 'J800', '1203a', '377', '3', '753', '1240', '1618', 'J1122', '1704', '88c', '640', '1614', '65', 'J1166', '535a', '1646', '86', 'J386', '310', 'J58', '1560', '255', '1008', 'J407', 'J1052', '1492', '708', '645', 'J1076', '585', 'J720', '636', '898a', '129', '714', '383', 'J770', 'J7', '1613', '535', 'J1158', 'J13', '127', '713', '390', '877', '14', '124', '248', '1700', 'J12', '1678', '514d', '1620', 'J1113', '271', '555', 'J75', 'J943', '1679', '771', '730', '681', '213', '1523', 'J853', '1600', '1167', '1637', '76', '141a', '704', '49', '287', '830c', '1029', '554', '1673', '1284', 'J1090', '986', '1210a', '595', 'J535', '325', '122', '219', 'J1112', '84', 'J1124', '1592', '901a', '86a', 'J254', '798', '1623', 'J606', '542', '760', '1831', '948', '457', '402', '78', '666', '1589', 'J750', '685', '1163', '218', '330', '429b', '1667', '1757', '232', '775', '1633', '514b', 'J44', 'J918', '590', '1674', 'J82', 'J49', '231', '35', 'J1111', '1731', '428', 'J1157', 'J1291', '1743', '465g', 'J569', 'J1251', '1631', '212', '1504', '1717', '479a', '1583', '1113', 'J282', '549', '733', 'J1148', 'J50', 'J70', '756b', '339', '634', '1451', '1526e', 'J996', 'J1097', 'J54', 'J677', '496', 'J148', '776', '972', '825a', '246', 'J26']"
Lentimicrobium saccharophilum,"['J1103', '1004', '503']"
Mycobacterium madagascariense,"['645', 'J386', '354']"
Penicillium rubens,"['J22', '634c', '90', '339a', '987', 'J12', '92', '232', 'J256', '381', '58', '104c', '830', 'J61', '129', '553', '1203a', '1', '548', 'J43', '535', '78', '65', 'J57', '110a', '220', '554', '1611', 'J1130', '693']"
Lactobacillus gasseri,"['J84', 'J22', 'J148', 'J26', 'J41', 'J30', 'J33', '11', 'J118', 'J226', 'J13', '232', 'J25']"
Solibacillus silvestris,"['1', '220']"
Thioalkalivibrio thiocyanoxidans,"['J311', '925', 'J310']"
Nitrospirillum iridis,['830']
Clostridium phytofermentans,['520']
Brevitalea deliciosa,['1426']
Truepera radiovictrix,['1033']
Geobacillus thermodenitrificans subsp. calidus,['1']
Heliorestis convoluta,['1381']
Salipiger marinus,['514']
Bacillus smithii,"['J22', '1259', '1504', '987', 'J12', '92', '1660', 'J256', '549', '1536', '1159', '514', '84', 'J475', '830', 'J275', 'J61', '214', '553', '63', '714', '1499', '1', '83', '215', 'J972', '1336', 'J474', '226', '1a', '252', '426', 'J27', 'J28', 'J43', 'J104', '535', '380', '1302', 'J51', '65', 'J443', '830c', '535a', 'J57', '220', '1241', '1703', '621', 'J118', '554', '1535', 'J26', '693']"
Chalara sp.,['90']
Craurococcus roseus,"['J346', '830']"
Thermanaerovibrio acidaminovorans,['104c']
Chiayiivirga flava,"['J74', '830', 'J346']"
Dethiosulfovibrio russensis,"['J758', '906']"
Streptomyces albus subsp. albus,"['J66', '1434', 'J42', '92', '84', '514', '553', '215', '252', 'J27', '948', 'J43', 'J127', 'J51', 'J54', '65', '621', '605']"
Myxococcus xanthus,"['J42', '250', '219', '251', '84', '645', '354', 'J58', '214', '1', '130', '83', 'J202', '613', '426', '535', '9', 'J51', '65', '220', '1749', 'J271', '1118', '67', '554', '215b', 'J386', 'J26', '907']"
Sulfurihydrogenibium rodmanii,['1145']
Skermanella rubra,['1342']
Mariniluteicoccus endophyticus,"['J26', '514', '92']"
Helicobacter pylori,"['1617', '1618', '1628', '830', 'J70', '1613', '535', 'J256', '693']"
Neisseria weixii,['693']
Staphylococcus aureus,"['J84', 'J22', '1494', 'J12', '92', '1113', '1203', '514', '187', 'J475', '298', '585', '830', 'J70', '825', '503', 'J33', '63', '293', '104', '641', '1203a', '1', '1245', 'J32', '1337', 'J27', '190', '535', '457', '526', '65', '429', 'J14', '220', '53', 'J118', '310', '693']"
Ancylobacter oerskovii,['1a']
Methanocalculus natronophilus,['784a']
Halalkalibacter akibai,"['J181', '830']"
Nocardia abscessus,"['J43', '65', '553']"
Arcanobacterium pinnipediorum,['693']
Mycobacterium abscessus subsp. abscessus,"['645', '354', '251', 'J386']"
Staphylococcus lugdunensis,"['220', '693', '92']"
Riemerella columbipharyngis,['693']
Candida oleophila,"['J148', 'J26', 'J346', 'J150', 'J27', 'J30', '129', '186', 'J25']"
Kocuria rhizophila,"['J22', '90', '220', 'J26', 'J30', '129', '92', '186', '189', '190', '1']"
