,Organism DSMZ ID,TaxonID,Organism Name,Media list
34,1030,33952,Acetobacterium woodii, ACETOBACTERIUM medium
35,5501,28187,Acetohalobium arabaticum, ACETOHALOBIUM medium
36,20678,937334,Acetomicrobium faecale, ACETOMICROBIUM FAECALIS medium
37,20664,49896,Acetomicrobium flavidum, PYG-MEDIUM (modified)
38,6540,2374,Acetonema longum, ACETONEMA medium
39,19106,2148,Acholeplasma laidlawii, FRIIS medium
40,4612,32002,Achromobacter denitrificans, NUTRIENT AGAR
41,30003,null,Achromobacter immobilis, NUTRIENT AGAR
42,23807,217204,Achromobacter insolitus, NUTRIENT AGAR
43,10342,72556,Achromobacter piechaudii, NUTRIENT AGAR
44,653,72557,Achromobacter ruhlandii, NUTRIENT AGAR
45,21681,null,Achromobacter sp., TRYPTICASE SOY BROTH AGAR
46,23806,217203,Achromobacter spanius, NUTRIENT AGAR
47,6388,85698,Achromobacter xylosoxidans subsp. xylosoxidans, NUTRIENT AGAR
48,2784,65403,Acidaminobacter hydrogenoformans, ACIDAMINOBACTER medium
49,20731,905,Acidaminococcus fermentans, ACIDAMINOCOCCUS FERMENTANS medium
50,21505,187327,Acidaminococcus intestini, COLUMBIA BLOOD medium
51,3772,2283,Acidianus ambivalens,  For anaerobic growth
52,6334,41673,Acidianus brierleyi,  For anaerobic growth
53,3191,12915,Acidianus infernus,  For anaerobic growth
54,18786,312539,Acidianus sulfidivorans,  For DSM 18786
55,16953,209650,Acidicaldus organivorans, ACIDICALDUS medium
56,23886,946336,Acidicapsa borealis, MEDIUM 830 MODIFIED FOR DSM 23886
57,25248,542300,Acidicapsa ligni, SSE/HD 1:10 medium
58,2392,163359,Acidiferrobacter thiooxydans,"  For DSM 2392, DSM 9464 and DSM 9465"
59,14175,null,Acidihalobacter ferrooxidans, ACIDIHALOBACTER medium
60,11585,105851,Acidilobus aceticus, ACIDOLOBUS ACETICUS medium
61,16705,242703,Acidilobus saccharovorans,  For DSM 16705
62,10331,53635,Acidimicrobium ferrooxidans, ACIDIMICROBIUM medium
63,700,76588,Acidiphilium acidophilum, THIOBACILLUS ACIDOPHILUS MEDIUM
64,2613,524,Acidiphilium cryptum, ACIDIPHILIUM medium
65,11245,62140,Acidiphilium multivorum, MEDIUM 269 MODIFIED FOR DSM 11245
66,18409,507754,Acidiplasma aeolicum,  For DSM 18409
67,16651,312540,Acidiplasma cupricumulans,  For DSM 16651
68,21000,null,Acidisoma sibiricum, ACIDOSOMA medium
69,19999,512382,Acidisoma tundrae, ACIDOSOMA medium
70,16009,50715,Acidisphaera rubrifaciens, GNYS medium
71,45281,667306,Aciditerrimonas ferrireducens, AEROBIC SULFOLOBALES medium WITHOUT SULFUR
72,14366,119978,Acidithiobacillus albertensis,  For DSM 14366
73,8584,33059,Acidithiobacillus caldus, THIOBACILLUS CALDUS MEDIUM
74,22755,160808,Acidithiobacillus ferrivorans, ACIDITHIOBACILLUS FERRIVORANS MEDIUM
75,1927,920,Acidithiobacillus ferrooxidans, LEPTOSPIRILLUM (HH) MEDIUM
76,24413,null,Acidithiobacillus sp., MEDIUM 271 MODIFIED FOR DSM 24413
77,14887,930,Acidithiobacillus thiooxidans, THIOBACILLUS FERROOXIDANS MEDIUM WITH THIOSULFATE
78,11244,33075,Acidobacterium capsulatum, MEDIUM 269 MODIFIED FOR DSM 11244
79,11237,33998,Acidocella aminolytic, MEDIUM 269 MODIFIED FOR DSM 11237
80,5432,437,Acidomonas methanolic, MEDIUM 125 WITH METHANOL
81,16745,78229,Acidovorax anthurii, R2A medium
82,7227,80870,Acidovorax avenae subsp. avenae, NUTRIENT AGAR
83,19327,343013,Acidovorax caeni,
84,17101,80868,Acidovorax cattleyae, NUTRIENT AGAR
85,17060,80869,Acidovorax citrulli, NUTRIENT AGAR
86,12578,86669,Acidovorax defluvii, MEDIUM 465 MODIFIED FOR DSM 12578
87,4762,47920,Acidovorax delafieldii, NUTRIENT AGAR
88,649,12917,Acidovorax facilis, NUTRIENT AGAR
89,7481,32040,Acidovorax konjaci, NUTRIENT AGAR
90,23535,758826,Acidovorax radicis, R2A medium
91,25157,592050,Acidovorax soli, TRYPTICASE SOY BROTH AGAR
92,6434,null,Acidovorax sp., R2A medium
93,7270,80878,Acidovorax temperans, NUTRIENT AGAR
94,16619,187868,Acidovorax valerianellae,
95,19572,379547,Aciduliprofundum boonei, ACIDULIPROFUNDUM medium
96,30011,470,Acinetobacter baumannii, NUTRIENT AGAR
97,14961,202950,Acinetobacter baylyi, CASO AGAR (Merck 105458)
98,22901,262668,Acinetobacter beijerinckii, TRYPTICASE SOY BROTH AGAR
99,25435,106648,Acinetobacter bereziniae, CASO AGAR (Merck 105458)
100,14964,202951,Acinetobacter bouvetii, CASO AGAR (Merck 105458)
101,18516,396323,Acinetobacter brisouii, R2A medium
102,16962,471,Acinetobacter calcoaceticus, CASO AGAR (Merck 105458)
103,21653,null,Acinetobacter genomospecies 3, NUTRIENT AGAR
104,14967,202952,Acinetobacter gerneri, CASO AGAR (Merck 105458)
105,590,106649,Acinetobacter guillouiae, NUTRIENT AGAR
106,22705,134534,Acinetobacter gyllenbergii, COLUMBIA BLOOD medium
107,6962,29430,Acinetobacter haemolyticus, CASO AGAR (Merck 105458)
108,25388,756892,Acinetobacter indicus, CASO AGAR (Merck 105458)
109,30746,40214,Acinetobacter johnsonii, CASO AGAR (Merck 105458)
110,14968,40215,Acinetobacter junii, CASO AGAR (Merck 105458)
111,30502,28090,Acinetobacter lwoffii, CASO AGAR (Merck 105458)
112,16312,281375,Acinetobacter marinus, CASO AGAR (Merck 105458)
113,16617,134533,Acinetobacter parvus, CASO AGAR (Merck 105458)
114,25618,48296,Acinetobacter pittii, CASO AGAR (Merck 105458)
115,6976,40216,Acinetobacter radioresistens, CASO AGAR (Merck 105458)
116,24031,632955,Acinetobacter rudis, R2A medium
117,16038,108981,Acinetobacter schindleri, NUTRIENT AGAR
118,16313,281376,Acinetobacter seohaensis, CASO AGAR (Merck 105458)
119,22956,487316,Acinetobacter soli, R2A medium
120,14960,null,Acinetobacter sp., CASO AGAR (Merck 105458)
121,14970,202954,Acinetobacter tandoii, CASO AGAR (Merck 105458)
122,14971,202955,Acinetobacter tjernbergiae, CASO AGAR (Merck 105458)
123,14969,202956,Acinetobacter towneri, CASO AGAR (Merck 105458)
124,30867,108980,Acinetobacter ursingii, TRYPTICASE SOY Yeast extract medium
125,23050,52133,Acinetobacter venetianus, COLUMBIA BLOOD medium
126,43316,35763,Acrocarpospora corrugat, GYM+S medium
127,44705,150177,Acrocarpospora macrocephal, ISP 5 MEDIUM
128,44706,90975,Acrocarpospora pleiomorph, ISP 5 MEDIUM
129,44982,null,Actinacidiphilus wushanense, GYM STREPTOMYCES medium
130,44950,null,Actinoacidiphilus directus, YEAST STARCH AGAR (A)
131,44951,null,Actinoacidiphilus flexuosus, YEAST STARCH AGAR (A)
132,44949,null,Actinoacidiphilus helicoides, YEAST STARCH AGAR (A)
133,45503,null,Actinoallomurus acaciae, GYM STREPTOMYCES medium
134,45447,478109,Actinoallomurus amamiensis, GPHF-MEDIUM
135,45450,478106,Actinoallomurus coprocol, GPHF-MEDIUM
136,45446,478108,Actinoallomurus fulvus, GPHF-MEDIUM
137,45448,478107,Actinoallomurus iriomotensis, GPHF-MEDIUM
138,45452,478111,Actinoallomurus luridus, MEDIUM 987 MODIFIED FOR DSM 45452
139,45651,502180,Actinoallomurus oryzae, GPHF-MEDIUM
140,45449,478114,Actinoallomurus purpureus, GPHF-MEDIUM
141,45523,877472,Actinoallomurus radicium, GYM STREPTOMYCES medium
142,43459,79912,Actinoallomurus spadix, GYM STREPTOMYCES medium
143,45451,478110,Actinoallomurus yoronensis, ISP2 medium
144,43889,65497,Actinoalloteichus cyanogriseus, GYM STREPTOMYCES medium
145,45092,340345,Actinoalloteichus hymeniacidonis, GYM STREPTOMYCES medium
146,45655,681644,Actinoalloteichus nanshanensis, GYM STREPTOMYCES medium
147,44848,252394,Actinoalloteichus spitiensis, TRYPTICASE SOY BROTH AGAR
148,26423,221404,Actinobacillus anseriformium, COLUMBIA BLOOD medium
149,22258,157339,Actinobacillus arthritidis, BHI medium
150,19761,717,Actinobacillus capsulatus, COLUMBIA BLOOD medium
151,11374,51161,Actinobacillus delphinicol, COLUMBIA BLOOD AGAR
152,19655,202947,Actinobacillus equuli subsp. equuli, MEDIUM 429 MODIFIED FOR DSM 19655
153,22436,202948,Actinobacillus equuli subsp. haemolyticus, COLUMBIA BLOOD medium
154,14528,null,Actinobacillus genomospecies 2, COLUMBIA BLOOD AGAR
155,22262,719,Actinobacillus hominis, BHI medium
156,22264,51049,Actinobacillus indolicus, HAEMOPHILUS medium
157,19770,720,Actinobacillus lignieresii, BHI medium
158,22206,67855,Actinobacillus muris, COLUMBIA BLOOD medium
159,13472,715,Actinobacillus pleuropneumoniae, HAEMOPHILUS medium
160,22435,51048,Actinobacillus porcinus, HAEMOPHILUS medium
161,17479,123820,Actinobacillus rossii, COLUMBIA BLOOD AGAR
162,22205,182182,Actinobacillus scotiae, COLUMBIA BLOOD medium
163,22263,722,Actinobacillus seminis, BHI medium
164,22257,67854,Actinobacillus succinogenes, COLUMBIA BLOOD medium
165,19774,716,Actinobacillus suis, BHI medium
166,5568,723,Actinobacillus ureae, COLUMBIA BLOOD AGAR
167,19118,202789,Actinobaculum massiliense, CHOCOLATE AGAR
168,15541,59505,Actinobaculum schaalii, COLUMBIA BLOOD medium
169,20639,1657,Actinobaculum suis, CHOPPED MEAT medium WITH CARBOHYDRATES
170,15805,190146,Actinobaculum urinale, PYG-MEDIUM (modified)
171,45178,null,Actinocatenispora rupis, GYM STREPTOMYCES medium
172,45336,390989,Actinocatenispora ser, TRYPTICASE SOY BROTH AGAR
173,44816,227318,Actinocatenispora thailandic, ISP2 medium
174,43924,46204,Actinocorallia aurantiac, GYM STREPTOMYCES medium
175,44434,65511,Actinocorallia aure, GYM STREPTOMYCES medium
176,45040,328075,Actinocorallia cavernae, GYM STREPTOMYCES medium
177,44360,46203,Actinocorallia glomerat, GYM STREPTOMYCES medium
178,44254,58109,Actinocorallia herbid, GYM STREPTOMYCES medium
179,43556,46162,Actinocorallia libanotic, GYM STREPTOMYCES medium
180,44361,111803,Actinocorallia longicaten, GYM STREPTOMYCES medium
181,44650,155976,Actinokineospora auranticolor, GYM STREPTOMYCES medium
182,45656,547056,Actinokineospora baliensis, BENNETT'S AGAR
183,45657,585224,Actinokineospora cianjurensis, GYM STREPTOMYCES medium
184,45658,547057,Actinokineospora cibodasensis, BENNETT'S AGAR
185,44255,103728,Actinokineospora diospyros, GYM STREPTOMYCES medium
186,44649,155975,Actinokineospora enzanensis, GYM STREPTOMYCES medium
187,43855,1816,Actinokineospora fastidios, GYM STREPTOMYCES medium
188,44256,103729,Actinokineospora globicaten, GYM STREPTOMYCES medium
189,44258,103730,Actinokineospora inagensis, GYM STREPTOMYCES medium
190,44259,39846,Actinokineospora ripari, GYM STREPTOMYCES medium
191,45613,1048753,Actinokineospora soli, GYM STREPTOMYCES medium
192,44260,155974,Actinokineospora terrae, GYM STREPTOMYCES medium
193,45045,406431,Actinomadura alb, GYM STREPTOMYCES medium
194,43919,1990,Actinomadura atramentari, GYM STREPTOMYCES medium
195,45347,453573,Actinomadura bangladeshensis, GYM STREPTOMYCES medium
196,44772,95160,Actinomadura catellatispor, GYM STREPTOMYCES medium
197,45038,392828,Actinomadura chibensis, GYM STREPTOMYCES medium
198,45346,454156,Actinomadura chokoriensis, N-Z-AMINE-MEDIUM
199,43461,46158,Actinomadura citre, GYM STREPTOMYCES medium
200,43675,46159,Actinomadura coerule, GYM STREPTOMYCES medium
201,43676,1991,Actinomadura creme, GYM STREPTOMYCES medium
202,43163,1992,Actinomadura echinospor, GYM STREPTOMYCES medium
203,44224,111802,Actinomadura fibros, N-Z-AMINE-MEDIUM
204,45200,1120938,Actinomadura flavalb, GPHF-MEDIUM
205,43997,60706,Actinomadura formosensis, STARCH - MINERAL salt - AGAR (STMS)
206,43923,46160,Actinomadura fulvescens, GYM STREPTOMYCES medium
207,45508,null,Actinomadura geliboluensis, GYM STREPTOMYCES medium
208,44770,96101,Actinomadura glauciflav, GYM STREPTOMYCES medium
209,44987,337895,Actinomadura hallensis, GYM STREPTOMYCES medium
210,44148,68565,Actinomadura hibisc, GYM STREPTOMYCES medium
211,45195,547461,Actinomadura keratinilytic, ISP2 medium
212,43764,46161,Actinomadura kijaniat, GYM STREPTOMYCES medium
213,43382,163603,Actinomadura latin, GYM STREPTOMYCES medium
214,43677,79909,Actinomadura livid, GYM STREPTOMYCES medium
215,40398,46163,Actinomadura luteofluorescens, GYM STREPTOMYCES medium
216,43862,46164,Actinomadura macr, GYM STREPTOMYCES medium
217,43067,1993,Actinomadura madurae, GYM STREPTOMYCES medium
218,45252,559626,Actinomadura meridian, TRYPTICASE SOY BROTH AGAR
219,44485,134959,Actinomadura mexican, TRYPTICASE SOY BROTH AGAR
220,44715,240840,Actinomadura meyerae, GYM STREPTOMYCES medium
221,44197,182080,Actinomadura namibiensis, GYM STREPTOMYCES medium
222,44846,267854,Actinomadura napierensis, ISP2 medium
223,44137,134602,Actinomadura nitritigenes, GYM STREPTOMYCES medium
224,43928,111804,Actinomadura oligospor, GYM STREPTOMYCES medium
225,43117,111805,Actinomadura pelletieri, BHI-GLUCOSE medium
226,43936,31962,Actinomadura rifamycini, GYM STREPTOMYCES medium
227,43750,115335,Actinomadura rubrobrune, ROLLED OATS MINERAL medium
228,44962,359158,Actinomadura rudentiformis, GYM STREPTOMYCES medium
229,44130,1994,Actinomadura rugatobispor, ISP medium 4
230,45251,559627,Actinomadura rupiterrae, N-Z-AMINE-MEDIUM
231,45225,559629,Actinomadura scrupuli, ISP2 medium
232,45500,1038904,Actinomadura sediminis, GYM STREPTOMYCES medium
233,43932,null,Actinomadura sp., GYM STREPTOMYCES medium
234,45233,589159,Actinomadura sputi, COLUMBIA BLOOD medium
235,43927,111806,Actinomadura umbrin, GYM STREPTOMYCES medium
236,43358,46165,Actinomadura verrucosospor, GYM STREPTOMYCES medium
237,43765,115336,Actinomadura vinace, PEPTON-CORN MEAL medium
238,44433,58112,Actinomadura viridilute, ROLLED OATS MINERAL medium
239,43175,58110,Actinomadura viridis, GYM STREPTOMYCES medium
240,43014,1658,Actinomyces bovis, BHI/3 medium
241,15435,131109,Actinomyces bowdenii, COLUMBIA BLOOD medium
242,15536,100469,Actinomyces canis, COLUMBIA BLOOD medium
243,15803,181487,Actinomyces cardiffensis, COLUMBIA BLOOD medium
244,15415,119495,Actinomyces catuli, COLUMBIA BLOOD medium
245,15436,103618,Actinomyces coleocanis, COLUMBIA BLOOD medium
246,19115,272548,Actinomyces dentalis, PYG-MEDIUM (modified)
247,20671,52767,Actinomyces denticolens, PYG-MEDIUM (modified)
248,11078,66228,Actinomyces europaeus, COLUMBIA BLOOD medium
249,15537,132933,Actinomyces funkei, COLUMBIA BLOOD medium
250,6843,52768,Actinomyces georgiae, BHI/2 medium
251,6844,52769,Actinomyces gerencseriae, BHI/2 medium
252,15540,55565,Actinomyces graevenitzii, COLUMBIA BLOOD medium
253,22168,595468,Actinomyces hominis, BBL ACTINOMYCES BROTH
254,15629,178339,Actinomyces hongkongensis, COLUMBIA BLOOD medium
255,20732,52770,Actinomyces hordeovulneris, MEDIUM 104 MODIFIED FOR DSM 20732
256,10695,29316,Actinomyces hyovaginalis, MEDIUM 697 MODIFIED FOR DSM 10695
257,43320,1659,Actinomyces israelii, MYCOBACTERIUM medium
258,23038,544581,Actinomyces johnsonii, COLUMBIA BLOOD medium
259,15383,156892,Actinomyces marimammalium, COLUMBIA BLOOD medium
260,23047,461393,Actinomyces massiliensis, MEDIUM 104 MODIFIED FOR DSM 23047
261,20733,52773,Actinomyces meyeri, PYG-MEDIUM (modified)
262,17233,1655,Actinomyces naeslundii, BBL ACTINOMYCES BROTH
263,19116,208480,Actinomyces nasicol, PYG-MEDIUM (modified)
264,8577,29318,Actinomyces neuii subsp. anitratus, COLUMBIA BLOOD medium
265,8576,144053,Actinomyces neuii subsp. neuii, COLUMBIA BLOOD medium
266,19120,1660,Actinomyces odontolyticus, BHI medium
267,17234,206043,Actinomyces oricol, COLUMBIA BLOOD medium
268,23056,544580,Actinomyces oris, MEDIUM 104 MODIFIED FOR DSM 23056
269,15433,111015,Actinomyces radicidentis, COLUMBIA BLOOD medium
270,9169,131110,Actinomyces radingae, COLUMBIA BLOOD medium
271,43329,null,Actinomyces sp., BHI/3 medium
272,15538,121163,Actinomyces suimastitidis, COLUMBIA BLOOD medium
273,23838,521393,Actinomyces timonensis, PYG-MEDIUM (modified)
274,9168,131111,Actinomyces turicensis, COLUMBIA BLOOD medium
275,15434,103621,Actinomyces urogenitalis, COLUMBIA BLOOD medium
276,15804,183916,Actinomyces vaccimaxillae, COLUMBIA BLOOD medium
277,43798,1656,Actinomyces viscosus, BHI/2 medium
278,24894,null,Actinomyces weissii, BHI medium
279,45062,402650,Actinomycetospora chiangmaiensis, BHI medium
280,45769,663606,Actinomycetospora chibensis, GYM STREPTOMYCES medium
281,45770,663608,Actinomycetospora chlor, ISP2 medium
282,45771,663609,Actinomycetospora cinnamome, GYM STREPTOMYCES medium
283,45772,663602,Actinomycetospora corticicol, GYM STREPTOMYCES medium
284,45773,663604,Actinomycetospora lute, GYM STREPTOMYCES medium
285,45774,663607,Actinomycetospora stramine, GYM STREPTOMYCES medium
286,45775,663603,Actinomycetospora succine, GYM STREPTOMYCES medium
287,45659,657018,Actinophytocola corallin, GYM STREPTOMYCES medium
288,45499,502181,Actinophytocola oryzae, TRYPTICASE SOY BROTH AGAR
289,45660,657017,Actinophytocola timorensis, GYM STREPTOMYCES medium
290,45518,null,Actinoplanes abujensis, GYM STREPTOMYCES medium
291,43031,47988,Actinoplanes auranticolor, BHI-GLUCOSE medium
292,43805,52695,Actinoplanes brasiliensis, GYM STREPTOMYCES medium
293,43148,113559,Actinoplanes campanulatus, CZAPEK Peptone AGAR
294,44859,76756,Actinoplanes capillaceus, N-Z-AMINE-MEDIUM
295,43942,113560,Actinoplanes consettensis, GYM STREPTOMYCES medium
296,45050,403638,Actinoplanes couchii, GYM STREPTOMYCES medium
297,46137,52696,Actinoplanes cyaneus, OATMEAL AGAR
298,43806,113561,Actinoplanes deccanensis, GYM STREPTOMYCES medium
299,43941,113562,Actinoplanes derwentensis, GYM STREPTOMYCES medium
300,43149,1868,Actinoplanes digitatis, CZAPEK Peptone AGAR
301,43939,113563,Actinoplanes durhamensis, GYM STREPTOMYCES medium
302,43807,113564,Actinoplanes ferrugineus, GYM STREPTOMYCES medium
303,45797,196914,Actinoplanes friuliensis, GYM STREPTOMYCES medium
304,44321,69485,Actinoplanes garbadinensis, GYM STREPTOMYCES medium
305,43857,113565,Actinoplanes globisporus, GYM+S medium
306,44249,null,Actinoplanes gratiae, STARCH - MINERAL salt - AGAR (STMS)
307,43938,113566,Actinoplanes humidus, GYM STREPTOMYCES medium
308,43864,122358,Actinoplanes ianthinogenes, GYM STREPTOMYCES medium
309,43146,113567,Actinoplanes italicus, CZAPEK Peptone AGAR
310,43865,69484,Actinoplanes liguriensis, GYM STREPTOMYCES medium
311,43150,113568,Actinoplanes lobatus, CZAPEK Peptone AGAR
312,43046,1866,Actinoplanes missouriensis, BHI-GLUCOSE medium
313,43940,113570,Actinoplanes palleronii, GYM STREPTOMYCES medium
314,43019,35752,Actinoplanes philippinensis, BHI-GLUCOSE medium
315,43808,113571,Actinoplanes rectilineatus, GYM STREPTOMYCES medium
316,43898,52697,Actinoplanes regularis, OAT FLAKE medium
317,45183,null,Actinoplanes sichuanensis, GPHF-MEDIUM
318,43901,null,Actinoplanes sp., GYM STREPTOMYCES medium
319,43866,1867,Actinoplanes teichomyceticus, OATMEAL AGAR
320,45572,571912,Actinoplanes tereljensis, GPHF-MEDIUM
321,45573,571911,Actinoplanes toevensis, GYM STREPTOMYCES medium
322,43147,1869,Actinoplanes utahensis, CZAPEK Peptone AGAR
323,45184,null,Actinoplanes xinjiangensis, GYM STREPTOMYCES medium
324,45243,533267,Actinopolymorpha alb, TRYPTICASE SOY BROTH AGAR
325,45117,null,Actinopolymorpha cephalotaxi, GYM STREPTOMYCES medium
326,45354,null,Actinopolymorpha pittospori, GYM STREPTOMYCES medium
327,18448,446787,Actinopolymorpha rutil, ISP2 medium
328,22024,117157,Actinopolymorpha singaporensis, GYM STREPTOMYCES medium
329,45004,673379,Actinopolyspora alb, MEDIUM 252 MODIFIED FOR DSM 45004
330,45583,414996,Actinopolyspora erythrae, STARCH-MINERAL SALT-AGAR + 10% NACL
331,43834,1850,Actinopolyspora halophil, CM + YE medium
332,44640,52698,Actinopolyspora iraqiensis, MEDIUM 549 MODIFIED FOR DSM 44640
333,44261,33906,Actinopolyspora mortivallis, CM + YE medium
334,44964,400392,Actinopolyspora salin, MEDIUM 252 MODIFIED FOR DSM 44964
335,45476,null,Actinopolyspora sp., CM + YE medium
336,44926,304899,Actinospica acidiphil, ISP2 medium
337,44927,304901,Actinospica robiniae, ISP2 medium
338,43827,40567,Actinosynnema mirum, BENNETT'S AGAR
339,44131,42198,Actinosynnema pretiosum subsp. auranticum, GYM STREPTOMYCES medium
340,44132,103721,Actinosynnema pretiosum subsp. pretiosum, GYM STREPTOMYCES medium
341,3133,43671,Actinotalea fermentans, CELLULOMONAS FERMENTANS medium
342,44526,333142,Actinotelluria brasiliensis, GYM STREPTOMYCES medium
343,16391,299567,Adhaeribacter aquaticus, R2A medium
344,19450,446660,Adlercreutzia equolifaciens, MEDIUM 104 MODIFIED FOR DSM 19450
345,23814,267800,Advenella incenat, COLUMBIA BLOOD medium
346,17095,310575,Advenella kashmirensis, NUTRIENT AGAR
347,17166,302406,Advenella mimigardefordensis, NUTRIENT AGAR
348,23843,487317,Aequorivita capsosiphonis, BACTO MARINE BROTH (DIFCO 2216)
349,14293,153268,Aequorivita croce, BACTO MARINE BROTH (DIFCO 2216)
350,14236,153267,Aequorivita lipolytic, BACTO MARINE BROTH (DIFCO 2216)
351,14238,101385,Aequorivita sublithincol, BACTO MARINE BROTH (DIFCO 2216)
352,30876,33936,Aeribacillus pallidus, CASO AGAR (Merck 105458)
353,22365,218139,Aeriscardovia aeriphil, BIFIDOBACTERIUM medium
354,15819,87541,Aerococcus christensenii, COLUMBIA BLOOD medium
355,15633,119206,Aerococcus sanguinicol, COLUMBIA BLOOD medium
356,30836,null,Aerococcus sp., TRYPTICASE SOY Yeast extract medium
357,21500,371602,Aerococcus suis, COLUMBIA BLOOD medium
358,7446,1376,Aerococcus urinae, TRYPTICASE SOY Yeast extract medium
359,20341,51665,Aerococcus urinaeequi, TRYPTICASE SOY Yeast extract medium
360,15634,128944,Aerococcus urinaehominis, COLUMBIA BLOOD medium
361,20311,1377,Aerococcus viridans, TRYPTICASE SOY Yeast extract medium
362,16824,302168,Aeromicrobium alkaliterrae, TRYPTICASE SOY Yeast extract medium
363,8599,2041,Aeromicrobium erythreum, TRYPTICASE SOY Yeast extract medium
364,10552,52699,Aeromicrobium fastidiosum, MEDIUM 65 MODIFIED FOR DSM 10552
365,19355,416568,Aeromicrobium flavum, TRYPTICASE SOY Yeast extract medium
366,22238,363867,Aeromicrobium ginsengisoli, R2A medium
367,24822,560557,Aeromicrobium halocynthiae, BACTO MARINE BROTH (DIFCO 2216)
368,15272,219314,Aeromicrobium marinum, BACTO MARINE BROTH (DIFCO 2216)
369,17939,363861,Aeromicrobium panaciterrae, R2A medium
370,19178,460257,Aeromicrobium ponti, TRYPTICASE SOY Yeast extract medium
371,17426,null,Aeromicrobium sp., GYM STREPTOMYCES medium
372,19087,375541,Aeromicrobium tamlense, R2A medium
373,11576,656,Aeromonas allosaccharophil, CASO AGAR (Merck 105458)
374,18362,477972,Aeromonas aquariorum, TRYPTICASE SOY BROTH AGAR
375,13956,105751,Aeromonas bestiarum, CASO AGAR (Merck 105458)
376,19111,440079,Aeromonas bivalvium, NUTRIENT AGAR
377,7323,648,Aeromonas caviae, NUTRIENT AGAR
378,25288,502790,Aeromonas divers, TRYPTICASE SOY BROTH AGAR
379,11577,73010,Aeromonas enchelei, CASO AGAR (Merck 105458)
380,6394,29489,Aeromonas enteropelogenes,
381,17534,649,Aeromonas eucrenophil, NUTRIENT AGAR
382,23621,591962,Aeromonas fluvialis, REACTIVATION WITH LIQUID medium
383,30015,644,Aeromonas hydrophil, NUTRIENT AGAR
384,30188,196025,Aeromonas hydrophila subsp. anaerogenes,
385,17689,196024,Aeromonas hydrophila subsp. dhakensis, TRYPTICASE SOY BROTH AGAR
386,6173,196023,Aeromonas hydrophila subsp. hydrophil, CASO AGAR (Merck 105458)
387,17695,208958,Aeromonas hydrophila subsp. ranae, TRYPTICASE SOY BROTH AGAR
388,6393,654,Aeromonas ichthiosmi, NUTRIENT AGAR
389,7311,650,Aeromonas jandaei,
390,4881,651,Aeromonas medi,
391,17090,271417,Aeromonas molluscorum, CASO AGAR (Merck 105458)
392,23451,600645,Aeromonas piscicol, TRYPTICASE SOY BROTH AGAR
393,19604,70856,Aeromonas popoffii, NUTRIENT AGAR
394,22539,648794,Aeromonas rivuli, TRYPTICASE SOY BROTH AGAR
