,id,name,complex_medium,source,link,min_pH,max_pH,reference,description
111,113a,SULFURIMONAS HONGKONGENSIS MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium113a.pdf,7.0,7.0,,
112,114,PARACOCCUS HALODENITRIFICANS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium114.pdf,7.0,7.0,,
113,115,VIBRIO NATRIEGENS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium115.pdf,7.0,7.0,,
114,115a,REACTIVATION WITH LIQUID MEDIUM 115,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium115a.pdf,,,,
115,118,DAP-NUTRIENT AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium118.pdf,7.0,7.0,,
116,119,METHANOBACTERIUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium119.pdf,6.8,7.0,,
117,119a,METHANOBREVIBACTER MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium119a.pdf,6.8,7.0,,
118,119b,METHANOMASSILIICOCCUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium119b.pdf,7.6,7.6,,
119,119c,GUDONGELLA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium119c.pdf,6.8,7.0,,
120,120,METHANOSARCINA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium120.pdf,6.8,7.0,,
121,120a,METHANOSARCINA BARKERI MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium120a.pdf,6.5,6.8,,
122,120b,METHANOMICROCOCCUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium120b.pdf,7.0,7.2,,
123,120c,METHANOSARCINA MAZEI (GOE1) MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium120c.pdf,6.8,7.0,,
124,120d,METHANOSARCINA MARINE MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium120d.pdf,6.8,7.0,,
125,121,MEDIUM FOR SULFOSPIRILLUM DSM 806,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium121.pdf,7.0,7.0,,
126,122,ACETIVIBRIO MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium122.pdf,7.0,7.2,,
127,123,MARINE AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium123.pdf,,,,
128,124,DESULFOFARCIMEN MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium124.pdf,7.0,7.2,,
129,125,METHYLOBACTERIUM MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium125.pdf,6.8,6.8,,
130,126,MYCOBACTERIUM INTRACELLULARE MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium126.pdf,,,,
131,127,MICROMONOSPORA MEGALOMICEA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium127.pdf,,,,
132,129,POTATO DEXTROSE AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium129.pdf,5.6,5.6,,
133,130,CZAPEK-DOX AGAR,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium130.pdf,7.2,7.2,,
134,133,CARBON MONOXIDE OXIDIZER MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium133.pdf,7.0,7.0,,
135,134,HALISCOMENOBACTER MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium134.pdf,7.5,7.5,,
136,135,ACETOBACTERIUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium135.pdf,8.0,8.2,,
137,135a,ACETOBACTERIUM MEDIUM (MARINE),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium135a.pdf,7.0,7.2,,
138,135b,ACETOBACTERIUM DEHALOGENANS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium135b.pdf,7.4,7.4,,
139,135c,MOORELLA THERMOACETICA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium135c.pdf,6.5,6.5,,
140,136,VEILLONELLA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium136.pdf,7.5,7.5,,
141,137,MINERAL LACTATE MEDIUM (low carbon content),0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium137.pdf,7.0,7.0,,
142,138,LINDANE MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium138.pdf,7.0,7.0,,
143,139,HATHEWAYA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium139.pdf,7.2,7.2,,
144,140,RUMINICLOSTRIDIUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium140.pdf,6.8,6.8,,
145,141,METHANOGENIUM MEDIUM (H2/CO2),0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium141.pdf,6.8,7.0,,
146,141a,METHANOCALDOCOCCUS LAUENSIS MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium141a.pdf,6.2,6.2,,
147,141b,METHANOCULLEUS SP. MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium141b.pdf,6.8,7.0,,
148,141c,METHANOCOCCOIDES MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium141c.pdf,7.0,7.4,,
149,142,THIOMICROSPIRA PELOPHILA MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium142.pdf,7.2,7.2,,
150,142a,THIOMICRORHABDUS MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium142a.pdf,7.6,7.6,,
151,143,CLOSTRIDIUM SP. LA1 MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium143.pdf,6.8,7.0,,
152,144,THERMOANAEROBACTER BROCKII MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium144.pdf,7.2,7.4,,
153,144a,CALDICELLULOSIRUPTOR ACETIGENUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium144a.pdf,7.2,7.4,,
154,144b,CALDICELLULOSIRUPTOR OWENSIS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium144b.pdf,7.2,7.4,,
155,146,HALOCOCCUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium146.pdf,8.4,8.4,,
156,147,RUMINOBACTER AMYLOPHILUS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium147.pdf,7.0,7.0,,
157,148,DESULFUROMONAS SP. MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium148.pdf,7.0,7.2,,
158,149,MEGADESULFOVIBRIO MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium149.pdf,7.0,7.2,,
159,150,ACIDIANUS BRIERLEYI MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium150.pdf,1.5,2.5,,
160,150a,ACIDITHIOBACILLUS CALDUS MEDIUM,0,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium150a.pdf,2.5,2.5,,
161,152,NICOTINIC ACID MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium152.pdf,8.2,8.2,,
162,153,THIOGLYCOLATE MEDIUM (MERCK 108190),1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium153.pdf,7.1,7.1,,
163,155,BEGGIATOA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium155.pdf,7.4,7.4,,
164,156,ANAEROTIGNUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium156.pdf,7.0,7.2,,
165,157,WOLINELLA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium157.pdf,7.0,7.2,,
166,158,THERMOPLASMA ACIDOPHILUM MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium158.pdf,1.0,1.0,,
167,159,TREPONEMA MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium159.pdf,6.7,7.0,,
168,160,CYTOPHAGA HUTCHINSONII MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium160.pdf,7.2,7.2,,
169,161,METHANOFOLLIS MEDIUM,1,DSMZ,https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium161.pdf,6.5,6.5,,
